Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-956.9685686833144,1039.548983153452,-0.9205613051348178,0.35727951228203053,,,,,,
_SUMMARY_,,,,,0.008650326449792245,0.5914987300917764,8.69963011089452,0.0032510198585433384,1086.0,44.0
