ETF,Beta_Pos,Beta_Neg,Asymmetry_Ratio,Wald_P,R²,N
AIQ,,,,,,20
ARKB,inf,-inf,,,,8
ARKF,,,,,,17
ARKG,inf,,,,,31
ARKK,-inf,-inf,,,,31
ARKQ,,,,,,9
ARKW,inf,,,,,9
ARKX,,,,,,12
ARTY,,,,,,20
BKGI,,,,,,9
BLOK,,,,,,21
BOTZ,inf,,,,,25
BUG,inf,,,,,15
CGW,,,,,,33
DSI,,-inf,,,,33
DTCR,-inf,,,,,13
FPX,,-inf,,,,33
GII,-inf,,,,,33
GNR,,-inf,,,,33
GRID,inf,-inf,,,,33
GUNR,inf,,,,,33
IFRA,,,,,,20
IGE,inf,-inf,,,,33
IGF,-inf,,,,,33
IZRL,,,,,,21
JUST,,,,,,20
KOMP,,-inf,,,,18
LIT,,-inf,,,,33
MOO,,-inf,,,,33
MSOS,,,,,,14
NFRA,inf,,,,,33
PAVE,inf,-inf,,,,24
PBW,inf,-inf,,,,33
PHO,inf,-inf,,,,33
PRNT,,,,,,9
PWRD,inf,-inf,,,,9
ROBO,-inf,-inf,,,,33
ROBT,inf,,,,,20
SAMT,inf,-inf,,,,9
SIXG,,,,,,17
SUSA,,-inf,,,,33
XT,-inf,-inf,,,,30
