Horizon,β_Depth,β_Depth_p,β_Duration,β_Duration_p,R²,N
1m,-0.22275489736596502,0.7860682369609197,0.43542345456000087,0.7091454424791834,0.004964979948216763,113
2m,-1.2519881020193604,0.1537019848138771,-0.07390544428847945,0.9557264862803416,0.023606854884341444,137
3m,-1.2153676280656354,0.25520960473181525,-0.007407794283400326,0.996357197644062,0.01576364126374341,137
6m,2.657967687025449,0.28210887611797125,2.4884494092327376,0.5078188980088367,0.00863092911193597,137
