Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,231.7692918759662,86.64136264779775,2.6750420906711962,0.007507341628888664,,,,,,,
Return_lag2,228.61023345661607,62.13550462073596,3.6792206782903296,0.0002375290598439772,,,,,,,
Return_lag3,135.66480432846828,29.311466075581347,4.628386856483008,3.821265331271917e-06,,,,,,,
Volatility,-144.60361189644308,99.93473788896644,-1.4469804489516596,0.1479934612978815,,,,,,,
VIX_Close,1.2253401728317372,1.1729745328947627,1.044643458547853,0.29626114424778693,,,,,,,
month_end,-11.88144251442762,27.49434199954519,-0.4321413661990588,0.6656657409652165,,,,,,,
quarter_end,-1.8524254602357588,3.4811394090140015,-0.5321319380198106,0.5946689634103608,,,,,,,
january,18.112255903820284,10.00787652685718,1.8098000964754268,0.07041397935200777,,,,,,,
Peer_Agg_Flow,0.550920120516547,0.1780079084891843,3.0949193504513355,0.001984482430571477,,,,,,,
_SUMMARY_,,,,,0.07540252918194501,0.04135627539725406,0.07267381034144804,35.087634570131556,1.1102230246251565e-16,3494.0,44.0
