Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-554.7563390541274,630.2565998326652,-0.8802071080277726,0.378747123571781,,,,,,
_SUMMARY_,,,,,0.004888632969494822,0.6018481743807423,6.7941937162135675,0.009237883811029312,1472.0,44.0
