Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-972.6052039864154,1030.9339019472336,-0.9434214959362122,0.3454653523574906,,,,,,
VIX_Close,-16.58068306373088,10.266094094121561,-1.6150916708648813,0.1062908444208055,,,,,,
_SUMMARY_,,,,,0.010466733240397708,0.5921373092749227,5.262278654005976,0.0053168524914871135,1085.0,44.0
