lag,r_squared,coefficient,p_value,f_statistic,f_pvalue,ETF
6,,-inf,,,,GUNR
7,,,,,,GUNR
8,,-inf,,,,GUNR
9,,,,,,GUNR
10,,,,,,GUNR
11,,,,,,GUNR
12,,,,,,GUNR
13,,inf,,,,GUNR
14,,inf,,,,GUNR
15,,,,,,GUNR
16,,,,,,GUNR
17,,inf,,,,GUNR
18,,-inf,,,,GUNR
19,,inf,,,,GUNR
20,,-inf,,,,GUNR
1,,-inf,,,,IFRA
2,,inf,,,,IFRA
3,,-inf,,,,IFRA
4,,-inf,,,,IFRA
5,,inf,,,,IFRA
6,,-inf,,,,IFRA
7,,inf,,,,IFRA
8,,inf,,,,IFRA
9,,-inf,,,,IFRA
10,,-inf,,,,IFRA
11,,inf,,,,IFRA
12,,inf,,,,IFRA
1,,,,,,IGE
2,,,,,,IGE
3,,,,,,IGE
4,,inf,,,,IGE
5,,,,,,IGE
6,,-inf,,,,IGE
7,,,,,,IGE
8,,-inf,,,,IGE
9,,,,,,IGE
10,,,,,,IGE
11,,,,,,IGE
12,,,,,,IGE
13,,inf,,,,IGE
14,,inf,,,,IGE
15,,,,,,IGE
16,,,,,,IGE
17,,inf,,,,IGE
18,,-inf,,,,IGE
19,,inf,,,,IGE
20,,-inf,,,,IGE
1,,,,,,IGF
2,,,,,,IGF
3,,,,,,IGF
4,,-inf,,,,IGF
5,,,,,,IGF
6,,,,,,IGF
7,,,,,,IGF
8,,,,,,IGF
9,,,,,,IGF
10,,,,,,IGF
11,,inf,,,,IGF
12,,,,,,IGF
13,,inf,,,,IGF
14,,,,,,IGF
15,,,,,,IGF
16,,,,,,IGF
17,,inf,,,,IGF
18,,inf,,,,IGF
19,,inf,,,,IGF
20,,inf,,,,IGF
1,,inf,,,,IZRL
2,,inf,,,,IZRL
3,,-inf,,,,IZRL
4,,-inf,,,,IZRL
5,,inf,,,,IZRL
6,,inf,,,,IZRL
7,,inf,,,,IZRL
8,,inf,,,,IZRL
9,,-inf,,,,IZRL
