ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,,,,22,-inf,
ARKB,,,,8,inf,
ARKF,,,,20,-inf,
ARKG,,,,37,,
ARKK,,,,37,-inf,
ARKQ,,,,10,inf,
ARKW,,,,10,-inf,
ARKX,,,,14,-inf,
ARTY,,,,23,-inf,
BKGI,,,,10,-inf,
BLOK,,,,24,,
BOTZ,,,,30,,
BUG,,,,17,-inf,
CGW,,,,40,,
DSI,,,,40,,
DTCR,,,,15,-inf,
FPX,,,,40,,
GII,,,,40,,
GNR,,,,40,,
GRID,,,,40,,
GUNR,,,,40,,
IFRA,,,,23,-inf,
IGE,,,,40,,
IGF,,,,40,,
IZRL,,,,25,inf,
JUST,,,,23,-inf,
KOMP,,,,21,-inf,
LIT,,,,40,,
MOO,,,,40,,
MSOS,,,,16,inf,
NFRA,,,,40,,
PAVE,,,,28,,
PBW,,,,40,,
PHO,,,,40,,
PRNT,,,,10,-inf,
PWRD,,,,10,-inf,
ROBO,,,,40,,
ROBT,,,,24,,
SAMT,,,,10,-inf,
SIXG,,,,20,-inf,
SUSA,,,,40,,
XT,,,,36,,
