Month,Month_Name,Mean,Median,Std,Count
3,Mar,inf,2.8695754213834004,,295
6,Jun,inf,1.6855181954641614,,255
9,Sep,8.83531524835169,1.0601256044749126,33.27953290099225,330
12,Dec,inf,2.96403732622783,,337
