Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,11.229882950467227,3.7564470574994746,2.989495866326022,0.0028241954779877343,,,,,,,
Return_lag2,4.807783752332498,3.0835531489629773,1.559170061313648,0.11909461609547534,,,,,,,
Return_lag3,0.12039334896300717,2.969684175283941,0.04054079217076879,0.9676655280643318,,,,,,,
CumRet_5,9.022071497574258,2.3513921133789415,3.8369064207711303,0.00012797209417447775,,,,,,,
CumRet_20,5.826578151396804,1.8298952203775116,3.1841047981942743,0.0014715644321896537,,,,,,,
CumRet_60,-5.799385925540292,2.0024439063251953,-2.896153998232636,0.0038135656628768277,,,,,,,
VIX_Close,0.02341935968604499,0.06732228478468096,0.3478693535275561,0.7279703436401159,,,,,,,
month_end,2.5413414600558633,1.3759636511603004,1.8469539205580336,0.06488303033403442,,,,,,,
quarter_end,-0.2783807185734679,0.2763917891329704,-1.0071960511082354,0.3139472131798269,,,,,,,
january,2.7599801838391924,0.8169268094385251,3.3784913800737306,0.000741073466707487,,,,,,,
_SUMMARY_,,,,,0.11476541772764381,0.10893974794431727,0.0902675777388362,32.91518990926183,1.1102230246251565e-16,2335.0,41.0
