lag,r_squared,coefficient,p_value,f_statistic,f_pvalue,ETF
1,0.12889474942076928,-9.283213383330988,0.11254096752489956,2.4414539621113853,0.05530721426766771,AIQ
2,0.10322405336849716,-9.167096205130555,0.12512206944458817,1.8704681738384539,0.12623936537614677,AIQ
3,0.16240131039078487,-11.619357015850024,0.052623614978727466,3.102226637275257,0.021346273715010227,AIQ
4,0.1439254045285474,-11.444473001322638,0.06237608760435547,2.6479294366587856,0.04141211377804297,AIQ
5,0.11125732949884282,-10.50067571958562,0.09891144419112587,1.9403688654440712,0.11489924549603216,AIQ
6,0.11577965015691127,-10.604677271820828,0.09479511580680305,1.9968321982255017,0.10624689816137234,AIQ
7,0.11439573116690593,-10.611602144550515,0.097191642357792,1.9375877329098374,0.11581858131427192,AIQ
8,0.10476456998317407,-10.632390752943813,0.11106289175952785,1.7261128809689466,0.1562900871983933,AIQ
9,0.16032435940419043,-10.750334427076131,0.10083365456879682,2.768572885729089,0.03558261758815815,AIQ
10,0.13522727483784192,-11.593375314182326,0.09322589819099729,2.228318042845196,0.07723324376319238,AIQ
11,0.15030890032635513,-13.06395104320943,0.05676486953338717,2.476576023189151,0.05445465934249955,AIQ
12,0.14143908921605053,-12.796162096990688,0.06550315772596452,2.2651712328073663,0.07378646080562043,AIQ
13,0.1541079966868999,-13.425907693497415,0.05488101880535725,2.4594841269625802,0.05626387058308974,AIQ
14,0.1406984129944545,-12.257391348116327,0.08600783450899767,2.1694990447684255,0.08503209723080264,AIQ
15,0.1413855359124997,-13.273317726362693,0.06703273825838356,2.1406720288783605,0.0888443741172581,AIQ
16,0.14217682879901095,-12.9487998324619,0.07332548595908066,2.1132030796620414,0.09264089797057226,AIQ
17,0.14377181508144943,-13.392127036121188,0.06622858592802859,2.0989120892920305,0.09483243551311085,AIQ
18,0.154514891804843,-14.296407108284114,0.05435435430650139,2.2387235520325977,0.07834906674048045,AIQ
19,0.18582128170176082,-12.348796102107329,0.10817907862437032,2.7387787598794966,0.039304614874913615,AIQ
