Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,139.68677080026964,76.39925840105586,1.8283786220409062,0.06757927397276475,,,,,,,
Return_lag2,114.1885146923146,55.47585485382727,2.0583461939106424,0.03963204922842478,,,,,,,
Return_lag3,21.449665404001067,68.57269201506384,0.31280185703208313,0.75445016022338,,,,,,,
Excess_lag1,234.0463827103811,121.93784140502807,1.9193908963253983,0.055017492702772675,,,,,,,
Excess_lag2,257.06983347400194,98.53308386882132,2.608969732605174,0.009120834069161088,,,,,,,
Excess_lag3,243.49531847491326,127.28036468548785,1.9130627027711204,0.05582293663186433,,,,,,,
VIX_Close,2.301289960276358,1.494263852270297,1.540082734906498,0.12363213610581214,,,,,,,
month_end,-23.36418912892511,27.51546748125005,-0.8491292813704234,0.3958684276295059,,,,,,,
quarter_end,-1.8600814389879758,3.0444723582389708,-0.610970053301424,0.5412597608697287,,,,,,,
january,40.75360698514039,13.871824124282922,2.9378693544564434,0.003326712362288653,,,,,,,
_SUMMARY_,,,,,0.054039853343034516,0.02426744367529765,0.05390306182481808,21.841551501407192,1.1102230246251565e-16,3494.0,44.0
