Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-24.160681637736193,9.266137018855828,-2.607416832771973,0.009122822914798821,,,,,,
VIX_Close,-0.6324417686117599,0.26933580682355546,-2.3481533186045285,0.018866753444288314,,,,,,
Peer_Agg_Flow,-42.835433894131484,0.16565038649243652,-258.5893990418629,0.0,,,,,,
_SUMMARY_,,,,,0.9982827089246503,0.9992922385515718,192608.19688920805,0.0,1085.0,44.0
