Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,9.336066485612783,5.179835429222568,1.8023866999600826,0.07157432890194038,,,,,,,
Return_lag2,-10.689636283287252,8.132466637198013,-1.3144396110268328,0.18878818557560484,,,,,,,
Return_lag3,-9.124504677108755,2.340704620950816,-3.89818715075732,9.881126250688155e-05,,,,,,,
Volatility,-4.535108701208357,11.262260649646048,-0.4026819163833584,0.68720790217988,,,,,,,
VIX_Close,-0.1089814030041322,0.06166937694804592,-1.7671883258354442,0.07728761704024656,,,,,,,
month_end,2.625264080471356,1.2718470468676852,2.0641350600584216,0.03908164668440417,,,,,,,
quarter_end,2.7346208932890645,0.7159290894685229,3.8196812135670277,0.00013604360710162133,,,,,,,
january,0.048724765320056,0.35291286854440806,0.1380645753186096,0.8901976702987513,,,,,,,
Peer_Agg_Flow,-35.07763237324777,5.010405208574088,-7.000957190692072,3.057332165212756e-12,,,,,,,
_SUMMARY_,,,,,0.9107673800373204,0.9656308378628226,0.9152817204628637,4279.14393010477,1.1102230246251565e-16,3406.0,44.0
