model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
panel_entity_fe,0.01499181390684956,16.259457783558098,5.675548589989532e-06,15.113449227815622,14954,44,True,"{""r2_overall"": 0.01659818391190071, ""r2_between"": 0.022183519406118957}",N-AD,A+D,W,pct_aum,SPY,15.691436069998899
panel_entity_time_fe,0.012899287659423497,23.06716206509092,0.004474092339519897,14.090114421488153,14954,44,True,"{""r2_overall"": 0.014858168608521294, ""r2_between"": 0.028254403712802856}",N-AD,A+D,W,pct_aum,SPY,11.656388731804412
panel_entity_fe_excess,0.017204391159491128,6.38984497162756,0.03268549504352847,9.626763340484494,14919,44,True,"{""r2_overall"": 0.019330571069449576, ""r2_between"": 0.04118818114844569}",N-AD,A+D,W,pct_aum,SPY,13.714104446787001
panel_entity_fe_controls,0.01504878958307354,16.209294586839068,4.795972505799995e-06,14.222574534645037,14954,44,True,"{""r2_overall"": 0.017053217296303824, ""r2_between"": 0.025228183678029037}",N-AD,A+D,W,pct_aum,SPY,14.158115792906045
asymmetry,0.14519154624730257,3.035447080633319,,,14954,44,False,"{""beta_pos_median"": 3.035447080633319, ""beta_neg_median"": 3.829760776253586, ""asymmetry_ratio_median"": 0.7858418482542657, ""wald_p_median"": 0.029955057553307803}",N-AD,A+D,W,pct_aum,SPY,317.8982741187142
relative_performance,0.1361788715067589,,,,14954,44,False,"{""r2_absolute_median"": 0.08018349527962754, ""r2_excess_median"": 0.07705687136114481, ""r2_combined_median"": 0.1361788715067589}",N-AD,A+D,W,pct_aum,SPY,292.8409620953626
granger,,,0.1606948991789368,1.9890317569499674,0,42,False,"{""pct_significant_lag1"": 0.35714285714285715}",N-AD,A+D,W,pct_aum,SPY,
seasonality,,,,,15446,44,False,"{""jan_mean"": NaN, ""best_month"": 1, ""worst_month"": 8}",N-AD,A+D,W,pct_aum,SPY,
drawdown,0.025595074160245312,0.05192042296799601,0.5036112401697569,,852,44,False,"{""1m"": {""beta_depth"": 0.05192042296799601, ""beta_depth_p"": 0.5036112401697569, ""r2"": 0.025595074160245312}, ""2m"": {""beta_depth"": -0.015348455108117248, ""beta_depth_p"": 0.9188300309381308, ""r2"": 0.026530315961686646}, ""3m"": {""beta_depth"": -0.025518511244230796, ""beta_depth_p"": 0.9087224518192432, ""r2"": 0.020343640161701426}, ""6m"": {""beta_depth"": 0.06648965983635684, ""beta_depth_p"": 0.8585343305404125, ""r2"": 0.0152679950205582}}",N-AD,A+D,W,pct_aum,SPY,130.8079969986131
panel_entity_fe_cum,,,,,0,44,False,"{""error"": ""exog does not have full column rank. If you wish to proceed with model estimation irrespective of the numerical accuracy of coefficient estimates, you can set check_rank=False.""}",N-AD,A+D,W,pct_aum,SPY,
panel_entity_fe_cum_long,0.05425531663887717,8.711197851115807,3.358230407091156e-07,40.75984052579966,12851,44,True,"{""r2_overall"": 0.054855536670205485, ""r2_between"": 0.0007094151487148093, ""CumRet_20_coef"": 1.3979616944880242, ""CumRet_20_pval"": 0.002587044237543523, ""CumRet_60_coef"": 0.8339264183351017, ""CumRet_60_pval"": 0.003128716195696546, ""CumRet_120_coef"": 0.06286138253048254, ""CumRet_120_pval"": 0.7263689465674195}",N-AD,A+D,W,pct_aum,SPY,246.24086276811119
panel_entity_time_fe_cum,,,,,0,44,False,"{""error"": ""exog does not have full column rank. If you wish to proceed with model estimation irrespective of the numerical accuracy of coefficient estimates, you can set check_rank=False.""}",N-AD,A+D,W,pct_aum,SPY,
panel_gmm_ab,,6.545689661652403,0.029440836347472705,,44,44,True,"{""sargan_stat"": 43.999999999983906, ""sargan_p"": 1.0, ""ar1_stat"": -1.7870962513639868, ""ar1_p"": 0.07392193327199109, ""ar2_stat"": 1.1891446123090401, ""ar2_p"": 0.23438276560689242, ""transformation"": ""d""}",N-AD,A+D,W,pct_aum,SPY,
panel_gmm_bb,,11.841795840234095,3.418603971111008e-06,,44,44,True,"{""sargan_stat"": 43.999999999997776, ""sargan_p"": 1.0, ""ar1_stat"": -1.7630268144434857, ""ar1_p"": 0.0778959672717445, ""ar2_stat"": 1.363780089745616, ""ar2_p"": 0.17263678846004657, ""transformation"": ""ld""}",N-AD,A+D,W,pct_aum,SPY,
panel_entity_fe_trend,0.012348499459741702,14.905357668021892,4.0967666139296884e-08,12.34952260626709,14919,44,True,"{""r2_overall"": 0.1308633287470441}",N-AD,A+D,W,pct_aum,SPY,4.484920325578123
univariate_r2_by_lag,0.026895555254677628,70.59561263512092,0.07224908334624826,,44,44,False,"{""best_lag"": 1, ""best_r2"": 0.026895555254677628}",N-AD,A+D,W,raw,QQQ,178.4498898109599
multilag_ols,0.09762905999701044,70.94119560849327,0.0701865825889004,0.027498730033129665,14963,44,False,{},N-AD,A+D,W,raw,QQQ,252.59154594572396
multilag_ols_month_fe,0.14621667790994525,76.70713334987799,0.06972789521351391,0.016903591428681176,14963,44,False,{},N-AD,A+D,W,raw,QQQ,443.9399528202004
cross_correlation,,0.08800726300747982,0.06637470606129538,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.08800726300747982}",N-AD,A+D,W,raw,QQQ,
panel_pooled,0.021498356178387357,126.36321194312048,5.102083152630499e-06,22.05063299261429,14963,44,True,"{""r2_overall"": 0.021649738300950627, ""r2_between"": 0.008227554238585677}",N-AD,A+D,W,raw,QQQ,69.74920847861776
