Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,17.81021616902887,3.410457943609172,5.22223597637475,2.061781594342449e-07,,,,,,,
Return_lag2,13.231695764528242,2.6948454060823526,4.910001788846173,1.0283965268254036e-06,,,,,,,
Return_lag3,11.039095828129035,2.4706917097479,4.468018322389329,8.593162284409317e-06,,,,,,,
CumRet_20,3.0420050646185133,0.7348664630858645,4.139534483373307,3.708116274392381e-05,,,,,,,
CumRet_60,3.10534176146675,1.1622048272932006,2.6719401679815387,0.007637282595027495,,,,,,,
CumRet_120,-4.866637320051204,1.2076882561218676,-4.029713210658325,5.914029758069539e-05,,,,,,,
month_end,1.2832306202086916,0.8492853420814237,1.5109534530099828,0.13104751717750074,,,,,,,
quarter_end,-0.42857460148803667,0.31035088779764103,-1.3809356387840637,0.16754017749532668,,,,,,,
january,1.8434057219866078,0.6358203755060859,2.8992555020265516,0.003804416983913539,,,,,,,
_SUMMARY_,,,,,0.15819119601227938,0.08797521810127229,0.1265645660320004,30.019932606133995,1.1102230246251565e-16,1317.0,31.0
