ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval,Return_lag2,Return_lag2_pval,Return_lag3,Return_lag3_pval
AIQ,0.14544793400969525,0.07762634147078218,0.07155998884287876,69,705.2689322204868,0.13057257113879142,253.22391865784567,0.5851139403115257,894.4124764749977,0.05809160233562831
ARKB,0.4225972960938098,0.2527729714155186,0.07253413865660877,23,-574.1858813937087,0.11356049360791269,886.665409696855,0.02675605292847691,55.30904285370548,0.8537307993028267
ARKF,0.0673795117010424,-0.01897423721552771,0.5683097021096404,60,358.70628170229156,0.3058724242467376,366.7575228691205,0.29772240412567447,250.46828768449552,0.47803884674352537
ARKG,0.16661996364827691,0.12730958457508235,0.0014929061251838878,112,1243.5408176782785,0.0009495991021366894,846.8748758807076,0.022593088316069813,436.16261842252925,0.23564245514733936
ARKK,0.10721572618100872,0.06510326043482983,0.03228685706810465,112,1387.4393588671894,0.014404809340432945,906.0454859323524,0.10582607126218685,652.4441023862767,0.24130546546591478
ARKQ,0.4129709144443826,0.2853558958453353,0.023413203984604277,29,62.42542087894261,0.5338382837837901,-109.6878367134477,0.27670367071179097,257.6229857395808,0.015353038977471431
ARKW,0.2441434023037098,0.07982675063060318,0.23298122442026567,29,253.7375685882343,0.04239939976225004,40.343121353040736,0.7342272688945258,-74.66880000822373,0.5116437797274693
ARKX,0.3710943082077568,0.2786081770618387,0.005728073219223153,40,24.700717607486787,0.7721447523052601,-140.20532649983184,0.10640735673439224,184.3266254468305,0.04020375709334701
ARTY,0.1402449018052664,0.07090981324117507,0.08770855963325568,68,164.78019835592414,0.04079515247167571,93.978300590649,0.2417739221249296,130.4082352183298,0.10681922854550709
BKGI,0.2357135323980284,0.0695643003106432,0.2548613749835372,29,377.80665035870453,0.0509497783844191,105.5831349327951,0.5178681718643632,44.22174507438479,0.7931958998102874
BLOK,0.031721705924065535,-0.0405378682607056,0.8197365130812608,73,96.53932614413384,0.4076477396465997,-32.492358744849106,0.7803825313811106,59.67041093360943,0.5986988916250462
BOTZ,0.20594976702168177,0.1581154156374457,0.0015656733556826928,89,392.2928644401081,0.03879337100402126,330.95718552970106,0.0755842159557047,419.1805921565992,0.02674322288483715
BUG,0.30116552572370114,0.2252052567806252,0.004502471977405285,52,164.783306779822,0.42651456352474737,797.8579527044941,0.000402991967308577,426.95831248034654,0.04975041549513985
CGW,0.0881055672127139,0.04775625602743572,0.06086706012134543,119,72.81790592893253,0.03035344035572142,13.845700218896589,0.6733198255348012,35.50011546994065,0.28911214843867883
DSI,0.1345146589746964,0.09621884742490416,0.005465809191495495,119,21.5478194092979,0.8287257261888861,113.90535484996306,0.26010750151676887,134.56518091021695,0.18043345400376076
DTCR,0.2396269973344004,0.14214327904393897,0.04982573322042524,45,141.6162133658567,0.18856553442925178,-1.8211133766031509,0.9862492033262554,228.28234120446922,0.05112406124565079
EUAD,0.34196943257351065,-0.023603104885650206,0.5019251442410879,15,1070.2387461025953,0.18652513684398014,547.6321364315364,0.4987043145339829,486.2601049250389,0.5514513091443026
FPX,0.09151592052309654,0.05131750992677331,0.05162666248022031,119,96.73971968923547,0.051746636565190865,88.33582767022907,0.07343014980667613,11.9770215386433,0.8074059858768008
GII,0.04282626870121742,0.00047344873224464123,0.41452301179738554,119,38.54292355341201,0.28307681107595933,42.58743235696297,0.24179055910570504,62.426956668754286,0.08770451695290778
GNR,0.08304457158225842,0.04247132253722552,0.07738444785635944,119,302.5185092577401,0.043248465436584,241.72635030900017,0.11353125001423237,173.3836696798792,0.26095318053974503
GRID,0.046780176211282054,0.004602307902046632,0.35959218730157577,119,520.5747522606682,0.09347497054123088,289.8177538821102,0.34663801759947144,280.29711814326157,0.3701394509152889
GRNY,0.7381014160733801,0.5744148011192427,0.02986854979819585,14,2614.7885719578,0.029581252631356608,787.8904054195864,0.4481385659739968,2337.076858015964,0.02834365473026906
GUNR,0.1622827636186568,0.1252156292655,0.001112099404737691,119,444.41019462165735,0.0945267194896331,628.0577333222043,0.022157377898309297,818.4794819636086,0.0035903894070395174
IFRA,0.10649159737936775,0.03668625342463083,0.19439920275025882,70,195.32210722702305,0.4756152101657499,725.5746281937066,0.01050161253507666,-92.5682135572907,0.7433434329014392
IGE,0.0678398010020469,0.026593774497712608,0.15390674748948305,119,33.749829043451754,0.7316484604160414,-213.97382580533514,0.03348494903699356,115.26567160565708,0.25547688068446417
IGF,0.025207360391289346,-0.01792505729051208,0.7118608922445249,119,317.35801889785546,0.3307339915692631,2.5690478498306106,0.9938045170888801,350.2842062388877,0.29242142372866275
