Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,122.61152510012685,68.18568427782209,1.7982004052426468,0.07223284843319266,,,,,,,
Return_lag2,94.60908903257538,49.42131933165045,1.9143375836991412,0.05565986172940307,,,,,,,
Return_lag3,45.949197781827905,62.50868863704314,0.735084974324642,0.4623378248308343,,,,,,,
Excess_lag1,255.90260867201798,126.26521522200808,2.026707103948404,0.04276932381772025,,,,,,,
Excess_lag2,276.7505005013504,101.84140442890715,2.7174654753955476,0.006611336963583403,,,,,,,
Excess_lag3,220.9144414777823,120.6954956637205,1.830345368424435,0.0672847377522019,,,,,,,
month_end,16.507624599505572,2.568775220125795,6.426262784759026,1.48755008311241e-10,,,,,,,
quarter_end,-2.813208075206757,2.840969674445336,-0.9902281254572002,0.32213223245410183,,,,,,,
january,42.63516225567913,14.688965302662588,2.902529986094452,0.003725135948030589,,,,,,,
_SUMMARY_,,,,,0.05044286909820894,0.01537220699673314,0.05038552036428867,22.855964873743847,1.1102230246251565e-16,3494.0,44.0
