Month,Month_Name,Mean,Median,Std,Count
1,Jan,58.62651739130434,3.886,268.89301236221183,299
2,Feb,37.626642181818184,2.8661,237.89075970729309,275
3,Mar,16.666745084745763,0.0,134.68509467952555,295
4,Apr,6.847420634920635,0.5447500000000003,83.32947824125608,252
5,May,4.885485770750988,0.8130000000000001,90.12156134924555,253
6,Jun,13.846895294117648,1.5480000000000003,80.63461903334724,255
7,Jul,20.43031280487805,2.141,108.61441437391865,328
8,Aug,4.848462804878046,0.0,115.53218401445758,328
9,Sep,10.881006363636365,0.0,106.45597168895232,330
10,Oct,23.003298214285717,1.58145,117.32130743620964,336
11,Nov,28.807916023738873,2.6047999999999996,119.95256274182883,337
12,Dec,31.177018934911246,2.50805,259.8778345545147,338
