Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-4.117479689033429,51.24791306998175,-0.08034433877162551,0.9359680671969128,,,,,,,
Return_lag2,-7.236480132077775,45.97315774139555,-0.15740663655918158,0.874933618749518,,,,,,,
Return_lag3,-7.972542942855744,67.52942417884758,-0.1180602831995272,0.9060267834975921,,,,,,,
Excess_lag1,304.7658282346929,130.03837731560526,2.3436606525396826,0.019152159229290255,,,,,,,
Excess_lag2,308.7721616765938,104.63370676183243,2.9509817747298386,0.0031890397592972963,,,,,,,
Excess_lag3,207.97167011092367,113.16756034894911,1.8377322040843564,0.06618804205620976,,,,,,,
month_end,8.453926816159578,4.867038716251251,1.7369754606495227,0.08248098721682728,,,,,,,
quarter_end,-1.2164181582965918,3.0222617773833482,-0.40248603459815374,0.6873513650622416,,,,,,,
january,19.148672625151693,10.14812233107835,1.88691779626162,0.059255492161790047,,,,,,,
Peer_Agg_Flow,0.5824348714237533,0.19777059332014096,2.9450023972013746,0.0032511622049926636,,,,,,,
_SUMMARY_,,,,,0.07970222203693555,0.04908766866472869,0.07874758587862529,33.111908944191725,1.1102230246251565e-16,3494.0,44.0
