horizon,beta,se,ci_lower,ci_upper,p_value,n_obs,r2
0,660.2592532457751,372.472050009468,-69.77255002058405,1390.2910565121342,0.07628820173142441,2022,0.05530926389306845
1,530.6203554043354,152.55707218358614,231.61398833762928,829.6267224710416,0.000504838232167664,2017,0.03596366187538491
2,290.6402679943759,65.24235813973554,162.7675957740306,418.5129402147212,8.397976932107174e-06,2012,0.01078017558831279
3,128.10564322312274,88.24300647045006,-44.84747134649433,301.0587577927398,0.14657472906727603,2007,0.0020952879474770425
4,80.64340781513047,86.49611666360335,-88.88586564810691,250.17268127836786,0.3511631212195341,2002,0.0008294858176722819
5,56.66051838906863,58.80963894415199,-58.604255885273446,171.9252926634107,0.3353185737854294,1997,0.00040898108485398765
6,19.940073252900387,90.02865574416082,-156.51284958220987,196.39299608801065,0.8247141538631482,1992,5.064474935378982e-05
7,124.96613925816361,30.23613691446382,65.70439987419249,184.22787864213473,3.5804917078639636e-05,1987,0.0019892454454113473
8,102.94700236216944,27.03620224080385,49.95701969145279,155.9369850328861,0.00014023896689374565,1982,0.0013440317248947231
9,123.70831709778655,30.264750269852712,64.39049656777635,183.02613762779674,4.359752620725738e-05,1977,0.001936666068235171
10,29.457093218472195,28.69515696541486,-26.784380964464603,85.698567401409,0.3046310975484753,1972,0.00010906007419142494
11,60.8545635340962,52.583778736843875,-42.207748961140894,163.9168760293333,0.24715481240493342,1967,0.00046350438262920957
12,70.02706861818217,32.40778415877787,6.508978848229852,133.5451583881345,0.03071000848799995,1962,0.0006125712169373632
13,-0.5559566571794133,17.192910555449682,-34.25344213527933,33.1415288209205,0.9742037895211277,1957,3.858050845462202e-08
14,9.162058956849506,16.81243202722634,-23.78970230904185,42.11382022274086,0.5857828286618507,1952,1.0465661218983513e-05
15,96.70952736071483,54.89513642569112,-10.882962960052595,204.30201768148225,0.07811764052394773,1947,0.0011650198515060772
16,187.12190993533082,81.43104997559088,27.519984759891457,346.7238351107702,0.021566432536885907,1942,0.004334305616859102
17,151.16371848409864,61.229859716613284,31.155398661096726,271.17203830710054,0.01355704234827729,1937,0.0028241748288659885
18,122.84497390800851,44.520455823484696,35.586483918672,210.10346389734502,0.0057926605164357985,1932,0.001846876719513002
19,216.38586387743786,84.99385922567568,49.80096088804612,382.9707668668296,0.01089964160905268,1927,0.005728435763289852
20,70.95546887410096,49.35715530825131,-25.782777909421554,167.69371565762347,0.15054975284776254,1922,0.0006112254925878524
21,163.43762832413782,81.83433113863254,3.045286593493387,323.8299700547823,0.04580597940123249,1917,0.0032413277378918748
22,235.95195586508652,79.37411749149531,80.38154427710498,391.52236745306806,0.0029523502453311667,1912,0.006698454678107257
23,135.18823232861845,86.13587529769521,-33.634981031697464,304.0114456889344,0.11653695036708914,1907,0.0021964152906828183
24,55.13247540827324,27.7591710623945,0.7254998852935444,109.53945093125293,0.04702227823144497,1902,0.00036523382188058395
25,104.12075429442318,51.84810904843966,2.500327892976159,205.74118069587018,0.04462330975030148,1897,0.0013011208697006893
26,90.51340864591357,36.45984901073206,19.053417703110426,161.97339958871672,0.013044565432131698,1892,0.0009829322872341173
27,22.42740699842502,71.43797339918808,-117.58844799251403,162.4432619893641,0.7535648059736396,1887,6.027788619322738e-05
28,53.968331341008614,89.48580854381788,-121.4206305323211,229.35729321433834,0.5464463277615866,1882,0.0003467565091780367
29,113.30457199413945,44.93152815726312,25.24039503555639,201.3687489527225,0.011678381501102947,1877,0.0015280341901099392
30,-17.736632148827137,76.3360623134946,-167.35256500488185,131.87930070722757,0.8162667087830071,1872,3.7361887759046475e-05
