period,start,end,n_obs,n_etfs,r2,CumRet_1_5_coef,CumRet_1_5_pval,CumRet_6_20_coef,CumRet_6_20_pval,CumRet_21_60_coef,CumRet_21_60_pval,VIX_Close_coef,VIX_Close_pval,month_end_coef,month_end_pval,quarter_end_coef,quarter_end_pval,january_coef,january_pval,Peer_Agg_Flow_coef,Peer_Agg_Flow_pval
Full Sample,2014-01-01,2025-12-31,9779,6,0.0080082125689247,19.72307060973634,0.6960588841667221,40.775144119214175,2.9080972871135512e-05,27.19056353166586,0.0002689822870741332,0.5880662844123994,0.0023898666918376597,-1.508576580058032,0.07603002418827823,0.10744945512839577,0.9295031268315126,5.198145969186376,0.011002567373295103,0.7097963273318519,0.00018094063178933673
Pre-COVID,2014-01-01,2020-01-31,2691,3,0.07410503203832253,17.970747774800216,0.0866272191769949,5.201377271932757,0.0010228569314846686,4.7687116149036015,0.08639880970139605,0.01507766564997728,0.17970362865882128,-0.04333155807717807,3.708613204926129e-13,-0.22020393425061438,2.2869470148738874e-14,0.6361328761705268,0.11712084088479292,-0.00013826412613199886,0.9897055091921328
Bull (2020-2021),2020-01-01,2021-12-31,1647,4,0.10345553089168391,225.9503279646504,8.185521778910218e-14,79.88871285236621,9.052916188235154e-07,90.94125420682266,0.0016785246600100549,0.3264604554775207,0.002960833179224168,-8.638048893734853,0.0714601551168486,-2.819171782954308,0.6961640503481841,25.450763939701282,0.0033491516622174617,1.0928144447153656,2.840728282723848e-08
Bear (2022-2024),2022-01-01,2024-12-31,4004,6,0.0235133320824632,-82.055559988342,0.33801672686299533,-4.410174631800904,0.5551637736563912,-10.537562814257202,0.2021152631136427,0.060748161129376615,0.39003660217144565,0.16501083922465848,0.7112935602214632,-0.9766208370991968,0.5855128629210504,-3.60823835418313,0.09210798004031649,-1.0706102214861142,0.14090409302904733
