ETF,mean_actual,mean_predicted,mean_residual,std_residual,n_obs
ARKF,1.0057991850989523,1.0057991850989512,1.1570100717630268e-15,26.93991908719798,1718
ARKG,2.0394313915857607,2.03943139158576,7.910887974100001e-16,28.326906398971634,2781
ARKK,4.242710626801153,4.242710626801152,8.804996437372999e-16,133.81381916846732,2776
ARKQ,0.13581763959390863,0.13581763959390772,9.141024091076163e-16,5.979673735455192,788
ARKW,-1.371803299492386,-1.371803299492387,1.1271299742387376e-15,40.518949640516695,788
ARKX,0.01527602040816332,0.015276020408162274,1.0363025630365939e-15,13.321176047517687,1176
