horizon,n_obs,r2,beta_pos,se_pos,ci_lower_pos,ci_upper_pos,p_value_pos,beta_neg,se_neg,ci_lower_neg,ci_upper_neg,p_value_neg
0,13233,0.03130737198886935,346.1887501715336,225.15812093075928,-95.11305767946868,787.4905580225359,0.12416206983242324,358.6274702337551,200.34044290532674,-34.032582507488314,751.2875229749985,0.07343940660063027
1,13224,0.011729481124293728,171.25242448769782,64.41167641590413,45.007858528677744,297.4969904467179,0.007843879985897667,205.85145511397587,73.44385419991794,61.90414599632592,349.7987642316258,0.00506546153513606
2,13215,0.004876149516709893,-100.3682470779228,136.57106977999274,-368.04262517681514,167.30613102096956,0.4623907302833027,24.371566861019407,52.603439574982936,-78.72928016887612,127.47241389091492,0.6431439872596083
3,13206,0.0027909352524735365,-85.9739711377367,75.44057262563364,-233.83477645705693,61.88683418158354,0.2544425180754788,53.90804096224884,39.63964727419522,-23.78424005504511,131.6003219795428,0.17384492737206303
4,13197,0.0030654845501818517,-79.3512791994746,78.70256398489984,-233.60547010083746,74.90291170188824,0.31333800258265443,5.863703912645484,48.47678913188775,-89.1490568719972,100.87646469728818,0.9037235103309245
5,13188,0.00262365815605492,-44.246435419620205,49.17303427024627,-140.6238115998567,52.130940760616305,0.3682208580912645,16.35539646524036,41.17112187050118,-64.3385196040513,97.04931253453202,0.6911801002410387
6,13179,0.002939516759840055,42.29478092548519,40.94680480596966,-37.95948177620695,122.54904362717733,0.3016412548768994,1.995805128360404,37.95207619570537,-72.38889735374202,76.38050761046283,0.9580605699968913
7,13170,0.00416642516070409,24.791028896410282,15.69960264618482,-5.979626861701693,55.56168465452225,0.11431624255941226,51.85609417933444,27.661556536976455,-2.3595603894579114,106.0717487481268,0.06083911198898712
8,13161,0.0038609030710173853,-3.0512377966533384,11.477908095565072,-25.5475242818216,19.445048688514923,0.7903657432481008,-14.937345818372247,62.72778140123423,-137.88153819489278,108.00684655814828,0.8117805240220648
9,13152,0.005031761213636909,6.825871347130988,35.53450207158331,-62.820472921736254,76.47221561599822,0.8476706312056468,122.33399607223579,71.08576966431507,-16.991552283131668,261.65954442760324,0.08526260153581261
10,13143,0.0034152747162209396,44.60182001821598,22.980727626919887,-0.4395784690716198,89.64321850550358,0.05227819117602002,50.487387519837576,34.027581345740295,-16.205446398820392,117.18022143849555,0.1378833388386933
11,13134,0.003006926076431493,-35.53456832463724,54.10324736340469,-141.57498460357206,70.5058479542976,0.5113148081711555,47.38679253028602,36.198548243571814,-23.561058319750366,118.3346433803224,0.19050728132073458
12,13125,0.0035079438671837826,-16.829131026936146,56.18948247717448,-126.9584929921426,93.30023093827029,0.7645533988193774,129.66454570765796,94.96071090931706,-56.45502762092329,315.7841190362392,0.1721101926356572
13,13116,0.0031527029877189694,16.49072792513123,22.66344796588317,-27.928813853497324,60.91026970375979,0.4668367802986161,18.56876359117994,23.60078895898943,-27.687932775169894,64.82545995752977,0.43140731778249664
14,13107,0.0024403314130924114,-55.65443405518468,29.264713833069504,-113.01221918587203,1.7033510755026597,0.05720266352597403,9.8513364806898,19.060226509654836,-27.506021015409253,47.20869397678886,0.605258734020822
15,13098,0.002811986400673372,-108.9294977476119,55.817342915726265,-218.3294795751573,0.47048407993349883,0.05099343810148789,96.27953222717252,69.53799058677001,-40.01242488018198,232.57148933452703,0.1661869969051214
16,13089,0.0017328959066884586,13.710795502326752,26.980493911214104,-39.17000084875511,66.59159185340862,0.611331063242444,42.961138001382615,15.933729659797079,11.731601728782692,74.19067427398254,0.007012740070127047
17,13080,0.0027411097303322585,-32.61905931526901,38.272029770399094,-107.630859280496,42.39274064995797,0.39405038477695287,83.91875955749659,39.204403371058376,7.079540914841488,160.75797820015168,0.03231081007259319
18,13071,0.004389055393395069,14.044415475271757,14.693583422267068,-14.75447883620649,42.843309786750005,0.3391633688737701,156.22248533166052,111.1786016749965,-61.683569802857136,374.12854046617815,0.15997701772439632
19,13062,0.0057857894926174325,4.911971420180905,27.914467374631215,-49.799379281714636,59.623322122076445,0.8603213782725712,140.6000291911927,56.95136995104149,28.977395216934724,252.22266316545068,0.013557702774983926
20,13053,0.004452875827806846,58.55179847926305,55.723084343710504,-50.66343994189729,167.7670369004234,0.2933670969298825,0.5619423233682891,44.330205891103375,-86.32366465043967,87.44754929717624,0.9898860587871458
21,13044,0.004737039794716402,-29.539585468643963,56.61381217826035,-140.50061836554937,81.42144742826143,0.6018280605601292,124.63752643689804,82.4829608619342,-37.026106190719844,286.3011590645159,0.1307706209695901
22,13035,0.003791395671327691,9.279851454353594,20.374069983525054,-30.652591931854086,49.21229484056127,0.6487685402001249,75.71515834693244,25.251868425795795,26.22240569002853,125.20791100383636,0.0027140275612462694
23,13026,0.003475760963363217,-54.62335848014696,17.80207508585859,-89.5147844985076,-19.731932461786336,0.002152297341658172,28.139744413966916,17.720347881636705,-6.59149922756167,62.8709880554955,0.11228848323615452
24,13017,0.0026117389744573227,-9.997200881227949,21.72682322871503,-52.58099190797766,32.58659014552177,0.6454216661127529,112.56836793154406,68.8143906783982,-22.305359416185212,247.44209527927333,0.10187601346725272
25,13008,0.002151675799488051,9.954644938627482,39.419054475640905,-67.30528213825112,87.21457201550608,0.8006284659965477,52.122576721920666,43.44658861059736,-33.031172205978265,137.2763256498196,0.23025851670649577
26,12999,0.002300805460535571,4.664051276018289,13.24070447242135,-21.287252619865974,30.61535517190255,0.7246500388466348,4.789903840671393,29.148922297450515,-52.340934050488144,61.92074173183093,0.8694751080301792
27,12990,0.0026358495981516628,-10.966845522687983,17.490593047663527,-45.24777796435516,23.314086918979193,0.5306501026545924,-13.297789361592985,51.45236265072936,-114.14256707651637,87.54698835333039,0.7960607388382452
28,12981,0.0035563766257281637,45.716662550416714,30.88014777850594,-14.807314932729483,106.24064003356291,0.13875191866954856,24.979746278653327,23.21315116003422,-20.51719396269792,70.47668652000458,0.2818811040519733
29,12972,0.003823389486993234,18.41600258405403,29.68979841054674,-39.774933008872125,76.60693817698018,0.535073140083947,54.33133080318647,40.68671431294421,-25.41316389945451,134.07582550582745,0.1817591931979654
30,12963,0.004850599619705798,-142.82742838378388,95.73867179730472,-330.47177703420175,44.81692026663396,0.13573931950876322,78.88703134079897,51.548799364858205,-22.146758860604322,179.92082154220225,0.12593335174577622
31,12954,0.0033987646698545593,-4.927017495815362,25.55692528558521,-55.01767061114341,45.16363561951268,0.8471265651982407,68.73832736875245,21.949378040779948,25.71833692576942,111.75831781173548,0.0017381192474326377
32,12945,0.0027373695813091015,-35.5847049473363,26.648668688010467,-87.81513581177707,16.64572591710447,0.18176912284427682,113.94242791355985,56.78202268813151,2.6517084754858615,225.23314735163385,0.04478547582778288
33,12936,0.0040700711380669,5.205471760396634,15.850562761914851,-25.8610603876482,36.27200390844147,0.7426022341859917,156.14004912081344,63.93397350951254,30.831763653630986,281.4483345879959,0.014597741227954963
34,12927,0.003596586419475467,-61.32587693868178,50.072066514543366,-159.46532393868083,36.81357006131726,0.2206685748610705,146.7949280556646,81.6727901426213,-13.28079914077108,306.8706552521003,0.07227941520095012
35,12918,0.005267031290149049,-64.84619994775056,60.087884540795024,-182.61628955490988,52.92388965940877,0.28050336424760347,121.305296671605,76.95976596560025,-29.533072879602898,272.1436662228129,0.11497578632462678
36,12909,0.005303237258793225,-67.92688431215025,51.162608990758216,-168.2037552891415,32.34998666484101,0.18428829028310467,182.8348875070063,128.527543868234,-69.07446949612421,434.7442445101368,0.15487109345684708
37,12900,0.003430156447070898,4.777754073747602,17.34174611531483,-29.21144374130686,38.76695188880206,0.7829275624787371,48.10922516672856,18.638821317154793,11.577806670827748,84.64064366262937,0.009847742475319136
38,12891,0.0038539559695663916,-69.67768016017004,20.790135545911966,-110.42559706386348,-28.929763256476612,0.0008038144972830729,145.35509674735803,69.47129284522775,9.193864811276512,281.51632868343955,0.03641128786472103
39,12882,0.003741045816392452,-87.66258943389472,68.00619662120066,-220.95228553699752,45.62710666920809,0.19738478535356763,134.47007857802984,54.60593988594637,27.444403059615723,241.49575409644396,0.013795137736576946
40,12873,0.0029930243272440205,14.472133227247829,30.05063939198923,-44.42603769345168,73.37030414794734,0.6300961484330089,131.33771286082242,53.629583384153754,26.225660921993352,236.4497647996515,0.014326187928148468
