horizon,beta,se,ci_lower,ci_upper,p_value,n_obs,r2
0,352.0879702459946,213.21204400129312,-65.79995706670923,769.9758975586984,0.09866687796765176,13233,0.03130555332855234
1,187.6630220314935,65.34626130774112,59.58670334397766,315.73934071900936,0.004081089927823041,13224,0.011715396162759184
2,-41.191078289171166,88.14981884949566,-213.96154847791266,131.5793918995703,0.6402960664472519,13215,0.004693075799890312
3,-19.606301269058715,55.34891988831386,-128.08819083334657,88.87558829522915,0.7231657998930234,13206,0.002560757318794016
4,-38.9152353567004,62.50710000151115,-161.42690013770581,83.596429424305,0.533565131384935,13197,0.0029800842651243054
5,-15.46752310793014,22.126970126558138,-58.83558764297777,27.90054142711749,0.4845302555996108,13188,0.002580522409232233
6,23.153867192045933,6.026189750743567,11.342752316584136,34.964982067507734,0.00012193303483266812,13179,0.0029204513170421054
7,37.64187019785829,15.73906426514615,6.793871087810466,68.4898693079061,0.016774172429928923,13170,0.0041578306512530805
8,-8.693469813230625,26.19011558694373,-60.02515311458143,42.638213488120186,0.73993679007063,13161,0.003859246267510885
9,61.6563634816852,22.939239164954405,16.6962808856239,106.6164460777465,0.007192186588534266,13152,0.004875368530637192
10,47.3956383113263,15.284464241683304,17.438638874636716,77.3526377480159,0.0019293159569021955,13143,0.0034148687529328425
11,3.826862677423655,15.10696229238915,-25.78223933146373,33.43596468631104,0.8000226306797512,13134,0.002926367846076028
12,52.722484349876794,17.346315212647674,18.724331268608104,86.72063743114549,0.002370456255628515,13125,0.0032566199742048996
13,17.47684139433314,3.339971412531486,10.930617716378055,24.023065072288222,1.671132054479479e-07,13116,0.003152652448826454
14,-24.58323646689077,17.6774833007816,-59.230467073730935,10.063994139949397,0.16433082592552317,13107,0.0023901394877069437
15,-11.610403002680398,13.392009150821334,-37.85825861892104,14.637452613560248,0.3859611956201352,13098,0.0023196273679688684
16,27.584863024897125,9.101216805213344,9.746805871188279,45.42292017860597,0.00243827316763899,13089,0.0017228968512202902
17,22.780969612836817,14.929846203904772,-6.480991241538579,52.042930467212216,0.127042824157734,13080,0.002582922565545487
18,81.47015061111526,58.22673484775736,-32.65215262785249,195.59245385008302,0.1617566041557461,13071,0.004155434639681821
19,69.16286604423236,30.72041894488822,8.95195132226948,129.37378076619524,0.02436244951670663,13062,0.005573473408288843
20,31.11039060012194,9.502537603686331,12.485759135159178,49.7350220650847,0.0010607284930997446,13053,0.004414144278763299
21,43.380111746945076,17.757102796914534,8.57682979521713,78.18339369867303,0.0145668519143843,13044,0.004463597065776592
22,40.68582857716378,7.896941483009139,25.208107682445544,56.16354947188202,2.575862436655266e-07,13035,0.0037406659818908228
23,-15.52517391067975,12.465081166713182,-39.9562840618061,8.905936240446604,0.2129505111812101,13026,0.0033970820200898144
24,47.8942846114341,28.24164050974859,-7.458313652000541,103.24688287486875,0.08990960530351862,13017,0.0024392246954022534
25,29.873584069909004,30.603910966500003,-30.1089792105014,89.8561473503194,0.32899699521401593,13008,0.0021312578127802295
26,4.723501734340355,14.63655377054618,-23.96361651371409,33.4106199823948,0.7469076610985111,12999,0.0023008052787164557
27,-12.067644588546692,29.99094722060572,-70.84882100317554,46.71353182608215,0.6874071531712749,12990,0.002635787279627988
28,35.92091677577943,11.778187997031731,12.836092498455283,59.00574105310358,0.002290068130523362,12981,0.0035514482994251084
29,35.38315190509041,16.232366813368248,3.5682975670454375,67.19800624313538,0.029273026745466592,12972,0.003808612100549058
30,-38.16122471766571,35.69816728873441,-108.12834691767102,31.805897482339596,0.28507113506341875,12963,0.004287954045355424
31,29.842020893476768,14.983362850067252,0.47516934004953626,59.208872446903996,0.04640649623613808,12954,0.003336689567259077
32,34.991577301594305,21.404005005956606,-6.959501634995668,76.94265623818427,0.1020879444836491,12945,0.002481650122389989
33,76.45352452228934,33.38460159195508,11.02090776383882,141.88614128073988,0.022016477953650974,12936,0.003809590113621031
34,36.92562930677432,14.149751450330559,9.192626073933027,64.65863253961561,0.00906399479081994,12927,0.003101465080017185
35,23.05028216079908,8.637870321916148,6.1203674267160295,39.980196894882134,0.00761874909824535,12918,0.0048710751833334065
36,50.48789863426531,36.63001901478032,-21.30561938772147,122.2814166562521,0.16810441970017576,12909,0.004584831463702366
37,25.23963045227489,5.778951716673115,13.913093219199668,36.566167685350116,1.2567094069823681e-05,12900,0.003408718171482472
38,31.874197950926767,25.102786366814193,-17.32635923963213,81.07475514148567,0.20417461939304204,12891,0.003326074204982099
39,17.280552144007434,10.93119061576614,-4.1441877710364174,38.70529205905129,0.11391276875045811,12882,0.0031781292709132103
40,69.72396694881301,36.0254648580933,-0.8846466993632305,140.33258059698926,0.052940268603555135,12873,0.0028373865424048406
