window_end,n_obs,CumRet_1_5_beta,CumRet_1_5_se,CumRet_1_5_pval,CumRet_6_20_beta,CumRet_6_20_se,CumRet_6_20_pval,CumRet_21_60_beta,CumRet_21_60_se,CumRet_21_60_pval
2017-12-08,997,4.31159889028061,4.073973302575819,0.28990605797199864,1.8028954473161696,1.2676900977055794,0.1549712687568372,1.6884500594358798,1.1314396541856775,0.13561989989948092
2017-12-11,997,4.153862539202922,3.865324523924819,0.2825324375312759,1.926426142086962,1.4121548334768195,0.17251253408205824,1.6795644105099126,1.1208394428711832,0.134006518398675
2017-12-12,997,4.161487200354145,3.853633472365737,0.28019267504660705,2.0766526039198476,1.5805524785514486,0.18888737520612997,1.6464750306140647,1.0900535113755139,0.13092777198351144
2017-12-13,997,4.150037091777523,3.831452650753683,0.27874194686128173,2.075385263118581,1.5781263864689035,0.188478159305967,1.6474005123345647,1.0879085907778605,0.12995430489847085
2017-12-14,997,4.165575072918413,3.8451141802478537,0.278656489468764,2.0899675101111144,1.590243374212822,0.18876416992361944,1.6441878933525476,1.0832329698889942,0.1290515815855683
2017-12-15,997,4.167573099416546,3.8482549587934614,0.27881846031474444,2.1311246655086107,1.6348105973248623,0.19237301162375697,1.6315282416449766,1.0727812152960194,0.12830007377251007
2017-12-18,997,4.921744044784232,4.7337988485361455,0.2984779868407801,2.2937648331558202,1.7822383304503469,0.1980895746207587,1.6569432433163012,1.1059294897028646,0.1340719763501647
2017-12-19,997,5.5011097082519775,5.397779576836425,0.3081350441302705,2.3806901324957264,1.8508173704411552,0.1983414457137821,1.6907687631632773,1.1433349608142886,0.13919260132001451
2017-12-20,997,5.578195543891746,5.487756558229223,0.30940080103677725,2.384204893667394,1.8919141929380052,0.20759443443004655,1.6843671721713043,1.1767702274954897,0.15233063488064372
2017-12-21,997,5.592405025028787,5.493533274168836,0.30867898102446545,2.3699487215517734,1.8774215412403283,0.2068256236890611,1.6801343005212233,1.1721329602819537,0.15174382273022388
2017-12-22,997,5.605363678531971,5.503115398981876,0.3084023690856017,2.3650401306643802,1.8706431231854586,0.20612504905789897,1.6828105304686307,1.171280128019916,0.15079539890186394
2017-12-26,997,5.63761488428474,5.530653560557847,0.30804171038251693,2.3601831085906158,1.8641757954211777,0.20548685844550285,1.6898904047214343,1.1737450597470571,0.14994032280245792
2017-12-27,997,5.670220196475449,5.5603579632845666,0.3078431887142379,2.3520385381179034,1.8542165963546031,0.2046262286134951,1.695435644576107,1.1771580569267404,0.1497885726366647
2017-12-28,997,5.702986383266825,5.590990862242233,0.3077135566565471,2.3431709170913098,1.8441036586290869,0.20386079442569505,1.7057066965886194,1.1831154183355106,0.1493848295075766
2017-12-29,997,5.674913000392138,5.54719757833634,0.3062967758792391,2.3514571822139896,1.8549685922063919,0.2049217647589192,1.7161708747453674,1.1898716302787318,0.14921325219593695
2018-01-02,997,5.648338893770182,5.523973084960267,0.3065377688227202,2.326785914384903,1.861739215727998,0.21137570870914857,1.7156028113429582,1.2081049555535914,0.15558508459753226
2018-01-03,997,6.09309682963913,6.004934954628942,0.31025764199193395,2.2883543133080355,1.8301467176256425,0.21116566280117266,1.7662089391071985,1.2723753629681702,0.1651006867928878
2018-01-04,997,6.06142161453416,5.981781611997627,0.31091031728213736,2.2835017795169668,1.8230984919854427,0.2103735629895025,1.7661626662094838,1.2700039494364082,0.16432402011363334
2018-01-05,997,6.1497780528410395,6.093498921380453,0.31286149875201563,2.318064700542241,1.8548931165581914,0.21140821704323887,1.774602043431007,1.274664704339345,0.16385855531668503
2018-01-08,997,6.129857329834389,6.011777696678974,0.30789857056363124,2.312699208114984,1.8416295396258413,0.20919226615715025,1.7589391274610187,1.284596531219621,0.1709198456660872
2018-01-09,997,7.1097771627781885,7.1969428874997465,0.323207254820411,2.3077445622931996,1.7951021421049602,0.19859023468905035,1.8526311492645857,1.3791573326057216,0.17917271542075408
2018-01-10,997,6.948389644851836,7.050467705187351,0.32436782718340373,2.092936807780689,1.5668921808176257,0.18163922713901037,1.8118156771601668,1.339593662675392,0.1762117798878411
2018-01-11,997,7.10785401359438,7.2415756366362185,0.32632938697277813,2.2106702202127058,1.7015109850504837,0.19386176201327998,1.8473875661808787,1.3761182929995792,0.1794459961968926
