Variable,N,Mean,SD,Min,P25,P50,P75,Max
Fund_Flow,10390,1.802266188642926,72.90187155728987,-2716.5574,0.0,0.0,0.0,2834.7065
Return,10399,0.0007717877546372001,0.023449525837970407,-0.1557117137767846,-0.01191132770557668,0.0013071895424836555,0.013586222755539334,0.16637867193285616
Close,10405,43.53063027390677,30.372370359739673,11.98,20.9921,33.0887,53.29,182.2
Flow_Pct,10389,0.1278927954930082,1.7633290577857583,-38.70340525687254,0.0,0.0,0.0,81.60236380235922
Excess_Return,10399,0.00021244252829869098,0.01747034337789563,-0.08513626338586003,-0.009312052655065163,0.00017897540909490514,0.00964596431694849,0.09995371877496552
VIX_Close,10405,18.595129282528365,6.654989564043518,9.140000343322754,14.18000030517578,16.959999084472656,21.149999618530273,82.69000244140625
