spec,Variable,Coefficient,Std_Error,t_stat,p_value
(1) Base,CumRet_1_5,8.566228568817788,54.416635851144086,0.15741929714748595,0.8749144061339379
(1) Base,CumRet_6_20,33.04699562631593,7.904706156618681,4.180673509115249,2.906469338329992e-05
(1) Base,CumRet_21_60,26.13298058780438,7.728656042846927,3.381309821905082,0.000721411512640388
(1) Base,R²,0.004032314262827241,,,
(1) Base,N,10027.0,,,
(2) + VIX,CumRet_1_5,1.158849261321564,58.11248835824117,0.01994148407787502,0.9840900522074526
(2) + VIX,CumRet_6_20,36.65372201809768,9.315528027909275,3.9346907559381834,8.330388482849842e-05
(2) + VIX,CumRet_21_60,26.793329007966413,8.115188510030922,3.3016274329115145,0.0009612565851030535
(2) + VIX,VIX_Change,-2.0962598962060572,1.3051226067916366,-1.6061785193954012,0.10823469161398737
(2) + VIX,VIX_Lag_Change,-1.425641407650209,0.8264213720258472,-1.7250780968496306,0.08451339922826467
(2) + VIX,R²,0.007653003238816791,,,
(2) + VIX,N,10027.0,,,
(3) + Calendar,CumRet_1_5,0.5326075747629204,58.19192460427735,0.009152602846267979,0.9926973814548397
(3) + Calendar,CumRet_6_20,37.05853095461805,9.438870568442528,3.926161576843503,8.631218717417122e-05
(3) + Calendar,CumRet_21_60,26.202230339046928,7.897636481058796,3.3177306149616714,0.000907519640482445
(3) + Calendar,VIX_Change,-2.105535237093925,1.3067049168359017,-1.6113318393201868,0.10710741466639384
(3) + Calendar,VIX_Lag_Change,-1.4382328824366624,0.8283803835601928,-1.7361986244235534,0.08252872042059967
(3) + Calendar,month_end,-1.9074940623463106,0.7981655569200454,-2.389847627235298,0.0168553641275901
(3) + Calendar,quarter_end,0.09282930304687764,1.2644107314669155,0.07341704774933461,0.9414742520613454
(3) + Calendar,january,4.900913047896209,1.7788249460853764,2.7551407229146117,0.005866689672691958
(3) + Calendar,R²,0.00805576388381779,,,
(3) + Calendar,N,10027.0,,,
(4) + Peer Flow,CumRet_1_5,-1.6061220257576327,57.432568863484875,-0.027965352369581906,0.9776897851360373
(4) + Peer Flow,CumRet_6_20,36.06460054037694,9.465781286327633,3.8099972363051124,0.00013896834522439345
(4) + Peer Flow,CumRet_21_60,25.475016375099774,7.866450471928473,3.238438539212532,0.001201859130412108
(4) + Peer Flow,VIX_Change,-2.116135478817394,1.303203585370554,-1.6237950099068292,0.10441956542488826
(4) + Peer Flow,VIX_Lag_Change,-1.4322405437949326,0.8295691053057326,-1.7264873229181903,0.08425977803840037
(4) + Peer Flow,month_end,-1.9157834379817311,0.7835693547500162,-2.4449443133121607,0.014487450903324268
(4) + Peer Flow,quarter_end,0.17637705630108225,1.3082274300979266,0.1348214020308989,0.8927530839571024
(4) + Peer Flow,january,4.660064556047965,1.7924741816392047,2.5997945207703745,0.009327959574862325
