Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-596.7674015300925,627.4465968999551,-0.9511046907873271,0.3415512337667213,,,,,,
_SUMMARY_,,,,,0.00552980019599747,0.5898290038949807,7.200910852057839,0.007373574603636956,1384.0,44.0
