Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,4.740868249749629,10.428030151585942,0.45462740142045105,0.6494007077128421,,,,,,,
Return_lag2,-15.186279043108614,1.661860280213969,-9.13812022822601,0.0,,,,,,,
Return_lag3,0.023098881181137437,1.45629219284574,0.015861433093313452,0.9873456880509681,,,,,,,
Excess_lag1,-4.772254661151312,12.714380143826892,-0.3753430845363189,0.7074241959263863,,,,,,,
Excess_lag2,12.808453369322228,3.453343271366721,3.7090009196372358,0.00021075507883283606,,,,,,,
Excess_lag3,-7.500400031011283,3.7755703683642285,-1.9865607839964172,0.04703567901690331,,,,,,,
month_end,0.2640878864414328,0.26707917962817623,0.9887999761310189,0.3228177193403239,,,,,,,
quarter_end,2.5509340076679705,0.4381804895868486,5.821651279072681,6.2597458327928734e-09,,,,,,,
january,-1.9638128644551573,1.9562590967611246,-1.0038613329423178,0.3155030267843246,,,,,,,
Peer_Agg_Flow,-35.316382350340966,4.480562313310448,-7.8821317238299,3.9968028886505635e-15,,,,,,,
_SUMMARY_,,,,,0.9173187243224552,0.9675102453434099,0.9210112222927009,5200.9191873005175,1.1102230246251565e-16,4272.0,44.0
