ETF,R²_Absolute,R²_Excess,R²_Combined,F_Abs,F_Exc,F_Comb,N
AIQ,0.524498772043448,0.40603477382204367,0.6924195210110884,3.4929726370535206,2.1647341074889406,2.438780088475819,26
ARKB,0.015030416046388662,0.10738071274974537,0.5542047815925089,0.09155866104651153,0.7217906734720164,3.1079560676552793,8
ARKF,0.21243048861767977,0.18274319627183166,0.26765028826478987,0.9710250942566067,0.804980152600128,0.4751082292636043,24
ARKG,0.4105167823981808,0.464905607193973,0.6517576017405113,2.0892034080373483,2.6064874540509484,1.871563040565962,37
ARKK,0.08815008505258515,0.19975840678288836,0.45918278280300706,0.2900151119419755,0.748867873687337,0.849053558581049,37
ARKQ,0.5304889492473568,0.41021703042172497,0.5532966252149905,5.084438945124588,3.129925298144384,2.1675884911150365,12
ARKW,0.1509382892651262,0.14460148397615424,0.15375062519977467,0.7999681214045,0.7607058765046473,0.31794835200099697,12
ARKX,0.4748026599695885,0.5589514764666883,0.5774561790499906,2.7121386026560703,3.801972662705026,1.3666184438614914,17
ARTY,0.37594046708936857,0.4767482067857991,0.496036020259376,1.9076355427671725,2.885231688453436,1.0662911971557192,26
BKGI,0.030823408325376667,0.08131433850053227,0.31602406013308826,0.1431166813723066,0.3983022034491685,0.8085695314670214,12
BLOK,0.1455910740980344,0.052806199233019324,0.44723612188445816,0.5679991929092566,0.18583384305042286,0.9439391685843906,27
BOTZ,0.40559369894190356,0.4194234552721283,0.48590069300266736,2.3394889410246953,2.4768883419028875,1.1476815121980486,32
BUG,0.535124453888357,0.18185229762720745,0.8371891189958343,3.453340093048324,0.6668195624083499,5.142095625503149,21
CGW,0.10097037768712536,0.22053078335997311,0.31760701698484195,0.37436800442446483,0.9430810037228119,0.5430031214248551,40
DSI,0.11018411917653859,0.16079116027834306,0.36803495638374883,0.4127599935789377,0.6386616881191461,0.6794270033102805,40
DTCR,0.6901442824651941,0.1765897820033836,0.7718694180392977,7.238752719674857,0.6969998415945758,3.8063861838733746,18
FPX,0.24377639148010055,0.42542604184241495,0.5050258715315494,1.0745339902714142,2.4680666187666875,1.190358881873755,40
GII,0.10425425515037856,0.05300612958643147,0.16194660510448544,0.3879607420216505,0.18657681336868204,0.22544829136905895,40
GNR,0.33079314153072203,0.27195664440947365,0.546964500638533,1.6476875440645637,1.245148576757885,1.40855463124714,40
GRID,0.5394879452133121,0.2677105977983001,0.727799860298558,3.904986051980812,1.218601084004047,3.1193953020975838,40
GUNR,0.5080621407349522,0.22956918391680026,0.6511001864819654,3.44259023212128,0.9932502660607007,2.1771776733543455,40
IFRA,0.19764462087900736,0.34958375825891597,0.6044422643710101,0.7800466589620052,1.702010441072664,1.6554156172103536,26
IGE,0.35459177497928784,0.2280848011999338,0.5966256639725398,1.8313565545687949,0.9849303030284895,1.7256012900811928,40
IGF,0.2552400865936121,0.3570550805432664,0.609089590646814,1.1423819587093211,1.851143956182984,1.817819391397313,40
IZRL,0.3497461080272164,0.2299146420967214,0.45306256580166715,1.8825129587175045,1.0449507175795365,1.0354533660365977,28
JUST,0.2851002963711954,0.13527829500631505,0.44139916035021787,1.2628591123940645,0.49539784308192686,0.8560359916618371,26
KOMP,0.2617770520462399,0.11829735429145238,0.7051639103862439,1.0047122614113102,0.3801461170503391,2.1924054549570022,24
LIT,0.24409136904627382,0.15664396145460835,0.4608160782921872,1.0763706928367123,0.6191294237752997,0.9970971617712495,40
MOO,0.213668124416183,0.4779329119732181,0.6766087418325746,0.9057588831159608,3.0515421161650926,2.4409344579829755,40
MSOS,0.1425831017695377,0.040662935482442486,0.5712353068839812,0.5820282492954163,0.14835273174827282,1.6653519869271611,19
NFRA,0.05407183685549688,0.017642843125713403,0.07534504880890436,0.19054243568119203,0.059865677848608904,0.095065253076826,40
PAVE,0.2823325000145652,0.3472783362915519,0.48709180444782874,1.236409220634206,1.6721464300301918,1.0174999750828078,30
PBW,0.5324889032128706,0.4985253717158703,0.6925756271574359,3.79662220406665,3.313729439790067,2.628304616446697,40
PHO,0.22778665806357468,0.28371347902876765,0.45793921676206695,0.9832630686073103,1.3202979102276597,0.9856134885176422,40
PRNT,0.18566768258123634,0.07207164816612255,0.21385234349286308,1.0259995259231647,0.3495123477007559,0.4760449236410247,12
PWRD,0.12293392964676053,0.17161413799318626,0.2908215410528987,0.46721652945046943,0.690556361329171,0.478429362333969,14
ROBO,0.11042858868898886,0.25000747359486686,0.2988539945492472,0.4137894844074182,1.1111553995220171,0.4972758753957957,40
ROBT,0.4484916573501627,0.5952513545583109,0.7750787690470977,2.710697328682831,4.902230567555759,4.020334407993835,27
SAMT,0.3003098453716866,0.248805347493668,0.7359313729122403,1.4306801536136902,1.1040429475171696,3.2513767773163273,14
SIXG,0.08420000015909157,0.4706354575814612,0.6983003502858653,0.3309892996564615,3.200606598153456,3.008921144693974,24
SUSA,0.1759517252080406,0.18977403067419696,0.42359749859994533,0.7117371258880905,0.7807452811882831,0.8573819171491355,40
XT,0.1371097806719721,0.12990714752635468,0.36830107504755183,0.4590328098164212,0.4313186966301428,0.5506419125816318,36
