Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-13.30970482792344,48.20384638523046,-0.2761129209805444,0.7824745842403404,,,,,,,
Return_lag2,-14.765030187744129,39.62703626626551,-0.37259991104390505,0.7094645725944084,,,,,,,
Return_lag3,-18.24968697584837,49.081900776195354,-0.371821113022164,0.7100443342105427,,,,,,,
Excess_lag1,305.73822466519437,110.84651605999979,2.7582123059212993,0.005836371101612947,,,,,,,
Excess_lag2,298.545975932286,99.75157727227187,2.992894790198705,0.0027791361165858675,,,,,,,
Excess_lag3,199.51503045301,85.30980597662106,2.3387115721220444,0.019395866533567174,,,,,,,
month_end,7.37584189621953,3.679631093370317,2.0045058075274906,0.04507839231277733,,,,,,,
quarter_end,-0.32472115493147785,2.9308860429795613,-0.11079282857458485,0.9117857945367549,,,,,,,
january,9.03185669100023,11.078958879895183,0.8152261226810944,0.4149879646860706,,,,,,,
Peer_Agg_Flow,0.6045365458785233,0.19712562377899837,3.066757807986859,0.002177371645594839,,,,,,,
_SUMMARY_,,,,,0.07607467577905236,0.0664629127774713,0.07523675600856605,39.40357275286358,1.1102230246251565e-16,4360.0,44.0
