Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-562.4962635421912,638.9814347569413,-0.8803014187042164,0.37869604427498893,,,,,,
Peer_Agg_Flow,0.006194727337560166,0.011220862457523496,0.5520722993451054,0.5808988196437503,,,,,,
_SUMMARY_,,,,,0.00496536488153676,0.6018918145577092,3.2286223664684908,0.039911008698614685,1384.0,44.0
