Month,Month_Name,Mean,Median,Std,Count
3,Mar,-inf,-101.99185528034054,,294
6,Jun,-inf,-6.722709138916703,,254
9,Sep,-3.0682527226004327e-16,-3.968755795683975,31.351382829569822,330
12,Dec,-inf,-6.954902655057405,,336
