Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
const,8.342151675634184,2.55993266566173,3.2587387111909756,0.0011538766590113436,,,,,,,
Return_lag1,-32.11753341669018,9.106435653890259,-3.526904997453049,0.0004380526739868884,,,,,,,
Peer_Agg_Flow,-42.91650797352104,0.08268848266249314,-519.0143365998375,0.0,,,,,,,
_SUMMARY_,,,,,0.9989836228863127,0.9999361274723704,0.9991233522155972,617152.4126914311,1.1102230246251565e-16,1086.0,44.0
