lag,correlation,p_value,ETF
-6.0,0.35776296885736303,0.2800330147293648,BUG
-5.0,,,BUG
-4.0,,,BUG
-3.0,,,BUG
-2.0,,,BUG
-1.0,,,BUG
0.0,,,BUG
1.0,,,BUG
2.0,,,BUG
3.0,,,BUG
4.0,,,BUG
5.0,,,BUG
6.0,,,BUG
7.0,,,BUG
-20.0,,,CGW
-19.0,,,CGW
-18.0,,,CGW
-17.0,,,CGW
-16.0,,,CGW
-15.0,,,CGW
-14.0,,,CGW
-13.0,,,CGW
-12.0,,,CGW
-11.0,,,CGW
-10.0,,,CGW
-9.0,,,CGW
-8.0,,,CGW
-7.0,,,CGW
-6.0,,,CGW
-5.0,,,CGW
-4.0,,,CGW
-3.0,,,CGW
-2.0,,,CGW
-1.0,,,CGW
0.0,,,CGW
1.0,,,CGW
2.0,,,CGW
3.0,,,CGW
4.0,,,CGW
5.0,,,CGW
6.0,,,CGW
7.0,,,CGW
8.0,,,CGW
9.0,,,CGW
10.0,,,CGW
11.0,,,CGW
12.0,,,CGW
13.0,,,CGW
14.0,,,CGW
15.0,,,CGW
16.0,,,CGW
17.0,,,CGW
18.0,,,CGW
19.0,,,CGW
20.0,,,CGW
-20.0,,,DSI
-19.0,,,DSI
-18.0,,,DSI
-17.0,,,DSI
-16.0,,,DSI
-15.0,,,DSI
-14.0,,,DSI
-13.0,,,DSI
-12.0,,,DSI
-11.0,,,DSI
-10.0,,,DSI
-9.0,,,DSI
-8.0,,,DSI
-7.0,,,DSI
-6.0,,,DSI
-5.0,,,DSI
-4.0,,,DSI
-3.0,,,DSI
-2.0,,,DSI
-1.0,,,DSI
0.0,,,DSI
1.0,,,DSI
2.0,,,DSI
3.0,,,DSI
4.0,,,DSI
5.0,,,DSI
6.0,,,DSI
7.0,,,DSI
8.0,,,DSI
9.0,,,DSI
10.0,,,DSI
11.0,,,DSI
12.0,,,DSI
13.0,,,DSI
14.0,,,DSI
15.0,,,DSI
16.0,,,DSI
17.0,,,DSI
18.0,,,DSI
19.0,,,DSI
20.0,,,DSI
-6.0,-0.04214724897257471,0.9079664964601002,DTCR
-5.0,,,DTCR
-4.0,,,DTCR
-3.0,,,DTCR
-2.0,,,DTCR
-1.0,,,DTCR
0.0,,,DTCR
1.0,,,DTCR
2.0,,,DTCR
3.0,,,DTCR
4.0,,,DTCR
5.0,,,DTCR
6.0,,,DTCR
-20.0,,,FPX
-19.0,,,FPX
-18.0,,,FPX
-17.0,,,FPX
-16.0,,,FPX
-15.0,,,FPX
-14.0,,,FPX
-13.0,,,FPX
-12.0,,,FPX
-11.0,,,FPX
-10.0,,,FPX
-9.0,,,FPX
-8.0,,,FPX
-7.0,,,FPX
-6.0,,,FPX
-5.0,,,FPX
-4.0,,,FPX
-3.0,,,FPX
-2.0,,,FPX
-1.0,,,FPX
0.0,,,FPX
1.0,,,FPX
2.0,,,FPX
3.0,,,FPX
4.0,,,FPX
5.0,,,FPX
6.0,,,FPX
7.0,,,FPX
8.0,,,FPX
9.0,,,FPX
10.0,,,FPX
11.0,,,FPX
12.0,,,FPX
13.0,,,FPX
14.0,,,FPX
15.0,,,FPX
16.0,,,FPX
17.0,,,FPX
18.0,,,FPX
19.0,,,FPX
20.0,,,FPX
-20.0,,,GII
-19.0,,,GII
-18.0,,,GII
-17.0,,,GII
-16.0,,,GII
-15.0,,,GII
-14.0,,,GII
-13.0,,,GII
-12.0,,,GII
-11.0,,,GII
-10.0,,,GII
-9.0,,,GII
-8.0,,,GII
-7.0,,,GII
-6.0,,,GII
-5.0,,,GII
-4.0,,,GII
-3.0,,,GII
-2.0,,,GII
-1.0,,,GII
0.0,,,GII
1.0,,,GII
2.0,,,GII
3.0,,,GII
4.0,,,GII
5.0,,,GII
6.0,,,GII
7.0,,,GII
8.0,,,GII
9.0,,,GII
10.0,,,GII
