Month,Month_Name,Mean,Median,Std,Count
3,Mar,-inf,-61.40831836804238,,404
6,Jun,-inf,-8.4411641938594,,364
9,Sep,4.840209371662808e-18,-3.720086737132188,29.85569523809997,367
12,Dec,-inf,-5.749383961072161,,377
