Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-0.018344688890635022,0.7508986988306412,-0.02443031119803886,0.9805118250214861,,,,,,,
Return_lag2,1.5699540097210358,0.5817839732005462,2.6985171163865296,0.007023897304873072,,,,,,,
Return_lag3,0.09687606436735041,0.2811875223725913,0.3445247625141185,0.7304881546285507,,,,,,,
CumRet_20,0.8692079872691882,0.18641581275021024,4.662737427934251,3.3279426223664643e-06,,,,,,,
CumRet_60,0.46666574461492394,0.21438397568952824,2.1767753075479446,0.02961477089620068,,,,,,,
CumRet_120,-2.572216178407514,0.45587518163315466,-5.642369407329112,1.9179387189538488e-08,,,,,,,
month_end,1.6375549621405967,0.2917685441250737,5.612513737733903,2.274034605065367e-08,,,,,,,
quarter_end,0.43933206196661667,0.04130155464466858,10.637179780430564,0.0,,,,,,,
january,0.37107249608713117,0.0995642384994188,3.726965642280258,0.00019921844676851208,,,,,,,
Peer_Agg_Flow,-40.50176573668518,0.1343345120353597,-301.4993326958619,0.0,,,,,,,
_SUMMARY_,,,,,0.9945378641277366,0.9468564191556075,0.9933803365514636,40178.670117906106,1.1102230246251565e-16,2030.0,35.0
