Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
const,1.859404391485446,1.1401897448948395,1.630785051181933,0.10300874814187444,,,,,,,
Return_lag1,-64.73936269163188,37.59864959079047,-1.7218534015511382,0.08516782826128644,,,,,,,
Return_lag2,-55.52772372571263,50.56023985968633,-1.0982488192265694,0.2721572018673122,,,,,,,
Return_lag3,-37.07345637658927,43.8110417650677,-0.8462126186223087,0.3974811226485828,,,,,,,
Excess_lag1,307.8630223334516,105.23453165760675,2.9254942981560568,0.00345704685123005,,,,,,,
Excess_lag2,294.0404721704896,92.45085886119034,3.1805055766109698,0.0014806095292967392,,,,,,,
Excess_lag3,172.20597910598238,87.6953260551663,1.9636848034255914,0.04963084572578769,,,,,,,
_SUMMARY_,,,,,0.019595161718174436,0.019506198798648344,0.019994806000826593,14.35718927998156,3.3306690738754696e-16,4360.0,44.0
