Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
const,11.895541442188046,3.6210166369732755,3.285138577029918,0.0010519512298219347,,,,,,,
Return_lag1,77.19843239225509,10.636022596071594,7.258205000501621,7.465139617579553e-13,,,,,,,
Volatility,-28.380799449947858,36.22153373585616,-0.7835338960772205,0.4334848147748338,,,,,,,
_SUMMARY_,,,,,0.03291208720844685,-0.014547832528853943,0.030550527051380505,18.445428829202193,1.3260129216874361e-08,1130.0,44.0
