Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-1.4919895069491313,1.0475748283560504,-1.4242319179151115,0.15452033645456686,,,,,,,
Return_lag2,3.9534701850416294,0.866490405839578,4.562624304202134,5.3281319170039865e-06,,,,,,,
Return_lag3,-2.6058676322630765,1.235061295730835,-2.1099095577447278,0.03497813403345407,,,,,,,
CumRet_5,-0.08649841045842946,0.6765974186611147,-0.1278432463274792,0.898284640864921,,,,,,,
CumRet_20,1.6446747915045183,0.38585948024508165,4.262367197664524,2.1075823411598194e-05,,,,,,,
CumRet_60,-2.7605202416538774,0.9108876368841735,-3.030582620592642,0.0024690947793990503,,,,,,,
month_end,0.8384092248844568,0.4757017806587083,1.7624681238811097,0.07812826140414764,,,,,,,
quarter_end,0.6720741297824586,0.07861397876087153,8.549041027764002,0.0,,,,,,,
january,-0.15365135468475055,0.23343800847834403,-0.6582105274386143,0.5104713262989404,,,,,,,
Peer_Agg_Flow,-30.941511005844983,0.9104154105251231,-33.98614593748811,0.0,,,,,,,
_SUMMARY_,,,,,0.9338628152900827,0.9491622989094662,0.9342999050672602,3471.972552709758,1.1102230246251565e-16,2263.0,41.0
