Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-0.5525897023752084,7.371290475393488,-0.07496512370796383,0.9402468161496023,,,,,,,
Return_lag2,8.96068851424929,9.263927087194945,0.9672667357923395,0.33347864587666853,,,,,,,
Return_lag3,-3.7085576517572805,5.634862661966486,-0.658145171272559,0.5104888547573045,,,,,,,
Volatility,-3.8629423455516454,23.5091925864064,-0.1643162491163263,0.86949183588845,,,,,,,
month_end,0.06035329722964958,1.2202046216102564,0.04946161992896215,0.9605542915694696,,,,,,,
quarter_end,-0.17711872613438753,1.2785707689898937,-0.13852868408239633,0.8898307028372099,,,,,,,
january,-0.16319334205405842,1.8921844538593835,-0.08624600087015936,0.9312758784882487,,,,,,,
Peer_Agg_Flow,-32.45652742189598,0.9683454972079716,-33.51750745521904,0.0,,,,,,,
_SUMMARY_,,,,,0.9601233571957746,0.9347854052552387,0.9589184429088844,11842.61006071158,1.1102230246251565e-16,3494.0,44.0
