Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,1.0911075949676046,6.523706556384797,0.16725270910594991,0.8671790626292735,,,,,,,
Return_lag2,5.093793381807414,7.117498319581249,0.7156718769843141,0.47423276676890036,,,,,,,
Return_lag3,-4.256444371479908,5.934333819215086,-0.7172573200546534,0.47325422379192483,,,,,,,
Volatility,-5.393278461956199,17.12690413635877,-0.3149009546043285,0.7528521076241894,,,,,,,
VIX_Close,0.016568333052309873,0.11055294793876325,0.14986785392179044,0.8808758897585212,,,,,,,
month_end,-0.06269194144422081,2.6283031495823828,-0.023852629577445085,0.9809712643589754,,,,,,,
quarter_end,-0.18184082862366885,1.0880319509618643,-0.16712820654109853,0.8672770165732275,,,,,,,
january,-0.4421397677561264,1.9610083408064871,-0.22546552126050182,0.821627839563893,,,,,,,
Peer_Agg_Flow,-32.90967868939712,0.8874348774416635,-37.08404923668382,0.0,,,,,,,
_SUMMARY_,,,,,0.962189776124756,0.939949899480258,0.961278092936243,13703.67962254856,1.1102230246251565e-16,4360.0,44.0
