Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-3.8264569580284693,1.360691567896467,-2.81214130248775,0.004952507827072017,,,,,,,
Return_lag2,-3.701996911864399,0.9109446709588488,-4.063909730069252,4.946570184594101e-05,,,,,,,
Return_lag3,1.2910353710351326,0.6339939521376118,2.0363528180074915,0.041800483514424336,,,,,,,
CumRet_5,0.33352409996078436,0.3907371466190937,0.8535766380203341,0.39340611458183194,,,,,,,
CumRet_20,0.9788699013709563,0.4785759629152032,2.04538041444509,0.04090232747490541,,,,,,,
CumRet_60,-2.0488287153568825,0.975606799221512,-2.1000557980856125,0.03580522680403919,,,,,,,
VIX_Close,-0.041174721796940206,0.020910647455977836,-1.969079239828577,0.04903368038922529,,,,,,,
month_end,1.8106847193868063,0.7409974791372334,2.443577434966504,0.014598321276172666,,,,,,,
quarter_end,0.6577467729018158,0.05715929035370784,11.507259254473034,0.0,,,,,,,
january,-2.393612638668161,0.31041854264938634,-7.710920289229355,1.687538997430238e-14,,,,,,,
Peer_Agg_Flow,-35.68033270721248,0.6400002456619283,-55.75049845537114,0.0,,,,,,,
_SUMMARY_,,,,,0.9589062003787292,0.9438796221419468,0.9578334001660257,7173.047241020878,1.1102230246251565e-16,3125.0,41.0
