ETF,R²_Absolute,R²_Excess,R²_Combined,F_Abs,F_Exc,F_Comb,N
AIQ,0.11927261324315008,0.14333002910745585,0.21382482271398073,0.7899798746432367,0.9759789240529291,0.6572877603979473,83
ARKB,0.3464147484227753,0.36330816080583506,0.46437702312166673,1.69607131170386,1.8259792932953414,0.9536833696174036,22
ARKF,0.1704974448047788,0.1063928412855607,0.3328461482951106,1.044837461917544,0.6052215128994521,1.0185969613544497,74
ARKG,0.2387772865573361,0.23156739458365716,0.4066483979637686,2.953782218232431,2.837715305535883,2.8841449188385777,126
ARKK,0.16973352663619534,0.16982699563891956,0.26383631448413813,1.9250735682669062,1.9263505323976928,1.5082395106318938,126
ARKQ,0.2829579541417613,0.30258675551711745,0.43455717402176786,1.2331823660837617,1.3558440687373559,0.8165582375182581,34
ARKW,0.333299791577362,0.30038468063318247,0.4684816001656096,1.5622641713934848,1.3417403835986064,0.9364900638078606,34
ARKX,0.2920943268181374,0.36321800383337943,0.46290335371486024,1.2378527445835192,1.7111884727579814,0.8618623052602512,49
ARTY,0.12529553985898856,0.10088958407720106,0.17985300709317886,0.8236488860169298,0.645210085625031,0.5208223593338583,82
BKGI,0.35574134359534404,0.4239387707218474,0.5204707937281354,1.6565148487748278,2.207779742023643,1.0853787150413094,33
BLOK,0.13106896599275442,0.11697925822513688,0.1905534723542267,0.9301758045106785,0.8169367470784362,0.6081478147133492,87
BOTZ,0.08295436702721037,0.1756922362664748,0.2503022917885517,0.6784370704511473,1.5985434445386737,1.0850806123624357,103
BUG,0.312779389633249,0.41122873747516087,0.587506024717245,2.010187534213036,3.084831704239871,2.433141295871397,66
CGW,0.12848719747696458,0.031817152873968024,0.21960070551124178,1.474300745840948,0.3286275208078153,1.2662789187270633,133
DSI,0.22765520452216859,0.09657000499751978,0.3057763736170289,2.947585144033031,1.0689262646991775,1.9820611528965133,133
DTCR,0.2527860959256444,0.27134714698880535,0.5605613179268191,1.1558749416151197,1.2723517768172496,1.5413866677204344,54
EUAD,0.18918115455032136,0.2986885246962566,0.3472198159190659,0.8555107435452782,1.5616331627045914,0.7092123288187241,15
FPX,0.14504668232115503,0.07228403079285006,0.1888663954339287,1.696545054821817,0.7791612216681558,1.0477913560335672,133
GII,0.20048078897116828,0.12789579405707707,0.3336290806542094,2.5075168451948393,1.4665196336118527,2.252995770610568,133
GNR,0.15570991647385835,0.2218107560067406,0.3270233397328678,1.844270346319152,2.850344665116726,2.1867103507182017,133
GRID,0.03936649600295827,0.04330035572162483,0.07785531277649238,0.4097972414990791,0.45260135697328086,0.3799283478486266,133
GRNY,0.702504842634893,0.680656911736928,0.7795863576509219,7.871330846266849,7.1047611670472826,4.126411630270004,14
GUNR,0.27594364330895704,0.24269123260673353,0.31968722672121863,3.8110796315638593,3.204653677021347,2.1146046006341437,133
IFRA,0.06244027369934402,0.1398222190404812,0.2502539971246497,0.3940424014501458,0.9617563728899822,0.8205548820161063,84
IGE,0.2094691643178248,0.1521026699431569,0.3029179894569579,2.6497279405561316,1.7938807512574653,1.9554814669430387,133
IGF,0.31871029271498064,0.29712955357877924,0.47800559616825133,4.6780435592526475,4.227372983053458,4.120782075377302,133
IZRL,0.2807874334072302,0.291180052721727,0.40186517115402565,2.440059504395249,2.567471946153252,1.763642616021217,88
JUST,0.23375454586845135,0.27596596703638365,0.3645749505587803,1.7541228225190129,2.1916156398948514,1.3626556087748325,82
KOMP,0.23829100742904186,0.220914834328927,0.3157276198656096,1.6945355371881987,1.5359322343802617,1.0189390182112648,78
LIT,0.3071369299884291,0.3119641886000838,0.409171315554128,4.432866222517819,4.5341271984861375,3.1164210006500817,133
MOO,0.1524248624841128,0.21568501544176022,0.3230267732044211,1.7983640120785838,2.7499795323079717,2.1472348120774862,133
MSOS,0.1006753047616682,0.09277569169027355,0.26927488662566845,0.391809063546796,0.3579213188422414,0.4606295885025336,55
NFRA,0.12673291882485072,0.15561826317744032,0.35618644804980115,1.4512503855556664,1.8429847116665226,2.489601238384759,133
PAVE,0.2851283803639316,0.27320103941942175,0.44399130181794544,2.791967967008688,2.6312740931939307,2.395599043340337,97
PBW,0.16829769291293706,0.1794089963811929,0.29421845321959306,2.0235328371563543,2.186338816657738,1.875910535671891,133
PHO,0.08678777194594578,0.08294961381147514,0.24835718483726088,0.950357094219819,0.9045262404417397,1.4868862034232302,133
PRNT,0.2302890931759829,0.1486797164545569,0.31596739727507683,0.9349658550953659,0.5457688755934464,0.4907885359080957,34
PWRD,0.40587531279629807,0.28545846832240973,0.49767081915498557,1.9811302786441938,1.1585464545236748,0.9411901522462165,40
ROBO,0.006379078123298965,0.03653971739630435,0.10102551803118309,0.06420032009038655,0.3792550461712633,0.5057038216976815,133
ROBT,0.25633534620718634,0.27375145960556935,0.4453268744916371,2.096877064333572,2.293046094609383,2.0406117055497743,86
SAMT,0.4391507995140643,0.25829586824598816,0.6081775912940665,2.34903142841376,1.0447395013230933,1.552176643757273,41
SIXG,0.10207876140101801,0.23059012334676343,0.3694780113007077,0.5684171228664252,1.4984868945910839,1.171975023624176,73
SUSA,0.13702373690110337,0.09882521317563109,0.19164284647060004,1.587804239354849,1.0966264771330239,1.0668462638728102,133
XT,0.06682939820711631,0.0692528754641003,0.17624429288934274,0.644538718545638,0.6696511466395219,0.8558085430814131,121
