Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-620.878251418252,627.4566029472477,-0.9895158461986115,0.32241082076973776,,,,,,
VIX_Close,-3.1949488181987964,0.6152481235213074,-5.192943620718167,2.0699488343968107e-07,,,,,,
_SUMMARY_,,,,,0.005884527147869911,0.5898594808321082,3.8268660985460285,0.022009071867501954,1383.0,44.0
