ETF,Beta_Pos,Beta_Neg,Asymmetry_Ratio,Wald_P,R²,N
AIQ,114.07328592607628,39.03426059969479,2.9223887982898855,0.00021811051609663216,0.9980148404897473,60
ARKB,-0.9922344041956137,3.5191217478457397,-0.28195512269588807,0.8959186100639691,0.9998766696811231,21
ARKF,-11.489258208732407,1.3682608651691293,-8.396979334282307,0.2853135987105553,0.999474957077041,51
ARKG,-13.223082066775072,7.249688017253287,-1.8239518770057288,0.47623695478748196,0.9993018394082404,103
ARKK,-48.949324725465026,5.5927160164878655,-8.752335105368788,0.08833606164770713,0.997311436703065,103
ARKQ,-2.5601003900430523,-2.21735902338238,-1.1545718862152738,0.05494845888213178,0.9998992399807107,26
ARKW,-1.5309412790171564,-3.0779579393415553,-0.49738862882078866,0.2783779726162325,0.9998766893650286,26
ARKX,-4.6367607723113275,-1.1905336992237237,-3.8946909065528206,0.42534994859461916,0.9972379988984749,35
ARTY,-5.016583181621296,23.320074934115368,-0.21511865617045867,0.03840709995529055,0.9966677401307676,59
BKGI,-1.9731746300084485,3.00429973631307,-0.6567835446505625,0.7823452014809442,0.9999359775577789,26
BLOK,-8.134986662803804,4.2504984898843325,-1.9138900254085678,0.5731230976020594,0.9956578896373085,64
BOTZ,-7.568982080440686,-41.236883586793006,-0.18354883837208336,0.09298230918832881,0.9810755499423011,80
BUG,-7.96215199585638,-18.313014851764198,-0.43478105927977995,0.5864624861272935,0.9967950019941411,44
CGW,-8.277202817592881,24.82610457919792,-0.3334072323423807,0.3764747757108907,0.9663796744518806,110
DSI,8.352989958641565,66.8857942071554,0.12488436532234475,0.020963359040886035,0.9645761698969307,110
DTCR,15.290263963532773,6.4917643922406585,2.3553325474671576,0.10669497167540917,0.9963281988001761,39
EUAD,-7.626492030491742e-13,1.2789769243681803e-13,,0.81603924580336,1.0,15
FPX,-34.13079542195359,-15.500950507613519,-2.201851777101653,0.003497397861536163,0.9546075486975181,110
GII,-9.508169928425085,7.4504860470634755,-1.2761811603113629,0.919625641667151,0.9741557189996052,110
GNR,-3.56115255046422,24.34103412501325,-0.14630243448879277,0.44249541767657385,0.9578525928359678,110
GRID,5.418600454971212,96.38778124017479,0.05621667378637324,6.353695183067742e-08,0.994715716522947,110
GRNY,-2.7284841053187847e-12,2.4821626235886165e-12,,0.9841409261903851,1.0,14
GUNR,34.97291629370557,93.55331809008531,0.3738287108109741,0.053577569824362486,0.9242494116012274,110
IFRA,-31.455170967018603,8.625628372623783,-3.6467106636371844,0.4238743736428019,0.9939909487233375,61
IGE,-2.999364757269433,-22.19006440313439,-0.13516701451509833,0.3274867196435999,0.9198021532980145,110
IGF,225.2563739242539,-239.28958350529706,0.9413546992916534,0.8595970510640167,0.934223758591585,110
IZRL,-8.435303016747293,-13.24918742720353,-0.6366656870917033,0.041350160555932165,0.9912478691941743,65
JUST,58.5298367602118,-52.425591086639514,1.1164363729058255,0.7773985049542942,0.9959592100691711,59
KOMP,36.197070672349405,-15.041350263476852,2.406504072991539,0.08177803883930437,0.9961811500065306,55
LIT,10.249027726678962,13.93838358058081,0.735309633819956,0.0981097368114795,0.9598795470658585,110
MOO,-54.718010357882925,14.891008100821457,-3.674567227914168,0.12320604530539991,0.9029865567428434,110
MSOS,-2.4417113201583525,-0.4323402869884699,-5.647660867245228,0.5766097741256893,0.997398459938632,40
NFRA,26.13741359420523,86.4167992130249,0.3024575526081942,0.0038880174449448758,0.9644340145088636,110
PAVE,-106.66881664475038,-61.290032368743205,-1.740394196612458,0.00011311398207310615,0.9935986995890035,74
PBW,-7.6048354702238194,12.946729856385723,-0.5873943115042971,0.2973582235358528,0.9722778083304103,110
PHO,-15.299537780952713,25.095216280119615,-0.6096595307318782,0.5759141212385075,0.9570340062175533,110
PRNT,-0.3605864305923472,-0.7298713468630437,-0.49404108291431426,0.5352249799301323,0.999978346982503,26
PWRD,-0.7343800815195204,-4.509137486751769,-0.16286486798798924,0.313024973016586,0.9998776174684553,26
ROBO,-53.11470898480849,-24.003416778097492,-2.2127978477328405,6.547546700707835e-06,0.970304480790725,110
ROBT,1.8163710964489372,3.1265751998397207,0.5809459169707644,0.6367287060301603,0.9957228503529681,63
SAMT,-0.9514558391192841,-0.15320824119978096,-6.210213182191692,0.7126875304795374,0.9999377395016193,27
SIXG,-39.665378754530025,10.557989546258591,-3.7569064243472514,0.31499614809016296,0.9870758866615579,50
SUSA,13.626523744569127,60.805361415605425,0.22410069486194914,0.02216091256272599,0.9863867282150093,110
XT,-48.117096042684175,-24.074572950976243,-1.9986687257409061,0.03836749711105264,0.960276205113843,98
