Horizon,β_Depth,β_Depth_p,β_Duration,β_Duration_p,R²,N
1m,-1.03100657795921,0.1700080816360915,-1.9599829639835296,0.054664512932821804,0.026132931576554608,144
2m,-1.191911155240634,0.16145596197340506,-2.177441788875749,0.07328402569633503,0.016623660925718542,195
3m,-1.6162067241785996,0.2854471409497362,-2.1743311654025184,0.3134495214414098,0.00640063520130596,195
6m,1.1075485168709864,0.7254417508695057,-2.074323497759913,0.644616624660131,0.0072411221139182524,195
