ETF,R²_Absolute,R²_Excess,R²_Combined,F_Abs,F_Exc,F_Comb,N
AIQ,,,,,,,26
ARKB,,,,,,,8
ARKF,,,,,,,24
ARKG,,,,,,,37
ARKK,,,,,,,37
ARKQ,,,,,,,12
ARKW,,,,,,,12
ARKX,,,,,,,17
ARTY,,,,,,,26
BKGI,,,,,,,12
BLOK,,,,,,,27
BOTZ,,,,,,,32
BUG,,,,,,,21
CGW,,,,,,,40
DSI,,,,,,,40
DTCR,,,,,,,18
FPX,,,,,,,40
GII,,,,,,,40
GNR,,,,,,,40
GRID,,,,,,,40
GUNR,,,,,,,40
IFRA,,,,,,,26
IGE,,,,,,,40
IGF,,,,,,,40
IZRL,,,,,,,28
JUST,,,,,,,26
KOMP,,,,,,,24
LIT,,,,,,,40
MOO,,,,,,,40
MSOS,,,,,,,19
NFRA,,,,,,,40
PAVE,,,,,,,30
PBW,,,,,,,40
PHO,,,,,,,40
PRNT,,,,,,,12
PWRD,,,,,,,14
ROBO,,,,,,,40
ROBT,,,,,,,27
SAMT,,,,,,,14
SIXG,,,,,,,24
SUSA,,,,,,,40
XT,,,,,,,36
