Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
const,-5.4769935394300715,3.286539599219112,-1.6664924836844854,0.09570509819637141,,,,,,,
Return_lag1,153.12826756279918,101.8913052755855,1.502859023629475,0.13296587723976017,,,,,,,
Return_lag2,157.58480916205767,81.00737668533252,1.945314310993983,0.05181735863170611,,,,,,,
Return_lag3,91.70158102431726,40.08155666373957,2.287874739837053,0.02220435883970784,,,,,,,
_SUMMARY_,,,,,0.010899671954145651,0.010108354265308428,0.011325917712241451,13.326755339588226,1.1986837078481472e-08,3494.0,44.0
