Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,11.22570427541522,3.753726151455367,2.990549609236378,0.002814494747441554,,,,,,,
Return_lag2,4.709968013327804,2.96937738238942,1.5861803357368314,0.11283671239144066,,,,,,,
Return_lag3,0.20921732521102926,2.9894893026556866,0.06998430301295036,0.9442122746164923,,,,,,,
CumRet_5,9.021380008786263,2.3569344768406153,3.82759049834898,0.00013287851796928152,,,,,,,
CumRet_20,5.828583937070566,1.8243389034828927,3.194901959248397,0.0014178361301415698,,,,,,,
CumRet_60,-5.729326531886914,2.0339653393468398,-2.816826039782346,0.0048917250124853595,,,,,,,
month_end,2.9080820828911174,0.6987300183169016,4.161953840048399,3.272165695888951e-05,,,,,,,
quarter_end,-0.29904386930951804,0.2806008239402509,-1.0657269822315072,0.28665962153392344,,,,,,,
january,2.7736965039930954,0.8193199490185317,3.3853642979347973,0.0007228482915833112,,,,,,,
_SUMMARY_,,,,,0.11463085884968971,0.11035147526399991,0.09048513653803147,36.99673547887735,1.1102230246251565e-16,2335.0,41.0
