Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-936.2871210628141,1033.8342663014353,-0.9056452775669758,0.36512363541848475,,,,,,
_SUMMARY_,,,,,0.008530265521079716,0.6033308452474981,9.334967844717664,0.0022989819003247933,1174.0,44.0
