Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-64.79061198987125,40.62311623745758,-1.594919789293009,0.110803527471806,,,,,,,
Return_lag2,-57.07873507467408,40.15915540429021,-1.4213131352004567,0.155298128580734,,,,,,,
Return_lag3,-36.53843376280735,42.373776695473566,-0.8622888166281965,0.388576601695781,,,,,,,
Excess_lag1,307.90191197205945,104.74449980674311,2.939552077103315,0.003304338134464846,,,,,,,
Excess_lag2,295.74009714729146,96.67267433974784,3.0591901917178603,0.002233009049183332,,,,,,,
Excess_lag3,171.79476109893102,88.4187319618832,1.9429679354934737,0.0520850952738563,,,,,,,
month_end,1.667524356200882,1.7854317301235962,0.9339614212442879,0.3503761376131522,,,,,,,
quarter_end,0.39718432706104423,2.7825661118674874,0.14274030197057153,0.8865019615755714,,,,,,,
january,0.8086993186634228,12.295961054631118,0.06576950878994826,0.9475643838866312,,,,,,,
_SUMMARY_,,,,,0.019598171945379383,0.019534405078378336,0.019998563481055442,10.764581715976608,4.107825191113079e-15,4360.0,44.0
