lag,r_squared,coefficient,p_value,f_statistic,f_pvalue,ETF
1,0.05558768533101344,185.91292543801487,0.5428760801381046,2.6781095960693837,0.07410622402781668,AIQ
2,0.05312250825964948,31.485961881043885,0.9176057649320785,2.5246274122436807,0.0857473460207354,AIQ
3,0.06586426279371871,305.533230613064,0.3151477481423715,3.1376164914599025,0.0482219124201648,AIQ
4,0.07079080734166021,334.31298370943347,0.27085304486454037,3.352092884619498,0.039536106261911154,AIQ
5,0.06342768088676942,-168.47369535503702,0.5857343787226696,2.9459594974863816,0.0578159046922718,AIQ
6,0.07417986639880281,-356.5510323355869,0.25470772970057987,3.4453066415193323,0.036361744033541976,AIQ
7,0.06692534442155273,-242.64806839524528,0.44900078742461913,3.048338223432603,0.052655859915853385,AIQ
8,0.060137917252655604,-3.7266990596322103,0.9907301799777433,2.687407621795212,0.07390833509929184,AIQ
9,0.07655119292040902,-372.84421492981915,0.24120353922817056,3.440228068780388,0.036697140206749704,AIQ
10,0.06541673437797813,-150.17437219793032,0.64398588407875,2.8698203874986037,0.06242204848370871,AIQ
11,0.07351344136913962,282.8741451959288,0.3881654742259305,3.213532185345384,0.04539253964863418,AIQ
12,0.08662873861384801,415.42773539143866,0.20467544773152377,3.7938018098961592,0.02666206040767199,AIQ
13,0.06979412422631359,114.3264733007122,0.732332986845071,2.963718009893666,0.05739493909590584,AIQ
14,0.08397439192861988,383.5616133297938,0.2638076192892123,3.575228963425414,0.032688649439762935,AIQ
15,0.08057252372538692,-306.68044537998,0.36754973388971823,3.373884556938002,0.03939334933846619,AIQ
16,0.07646311613613765,195.0656632505465,0.5697935995946797,3.1461639095743386,0.04866999512924888,AIQ
17,0.08559227690891302,-331.6570636137924,0.33446865238353507,3.510152312837049,0.03489359408032512,AIQ
18,0.07779142279433959,41.765408990093206,0.9044469961200201,3.12107555116426,0.0499664867922698,AIQ
19,0.09279118793324403,329.8016341600236,0.34480957099262555,3.7332952618125437,0.028596638898036365,AIQ
20,0.09865220709072076,362.6679699169898,0.2991561806014225,3.9401876647446397,0.023775320865137537,AIQ
21,0.10080881239294126,-385.59158765391186,0.27854006629919964,3.9799242800334143,0.02300104095147286,AIQ
22,0.09771737796966451,329.57266538905776,0.3619035092868592,3.7905065945327197,0.027352104854938015,AIQ
23,0.12088418661739897,-0.10470569767431925,0.9997654800034653,4.7439761346725025,0.011737893878680333,AIQ
24,0.1242239047377599,-124.50005952309641,0.7294726914278136,4.82270843419074,0.010999297510517925,AIQ
1,0.10000567130722271,-46.93454854238104,0.9110628403274283,1.277858296844499,0.2976852981400234,ARKB
2,0.10975683181199114,433.28495982288894,0.2534150780273509,1.3561745746269298,0.27835251199431205,ARKB
3,0.01534368747038517,-16.845711926871274,0.9610009791978067,0.16361924093610927,0.8501372177638691,ARKB
4,0.01613998157045482,-11.40187143522369,0.9738781825501746,0.16404753997644644,0.8498320838454037,ARKB
5,0.00282744555921588,29.56273223076088,0.9366110539108883,0.026936895417879157,0.9734597719137236,ARKB
6,0.00245705604920865,13.589761134873868,0.9716064548838749,0.02216797239354625,0.978102590599144,ARKB
7,0.006101380176058102,115.43261670269663,0.7589919832732143,0.05218010213725887,0.949309318392431,ARKB
8,0.03692422788414185,289.062566998487,0.45601550811627134,0.3067191924308934,0.7400885076368701,ARKB
9,0.11223897300294239,-459.97248363447943,0.18891124083822936,0.9482194779033234,0.40946856432853623,ARKB
10,0.010793108706618093,145.40184054871625,0.7031284084837497,0.0763760964579852,0.926851020477733,ARKB
11,0.13847300691051712,516.4691780948335,0.17288109837670046,1.0447432896915334,0.37953145869474664,ARKB
12,0.08666390314247252,-409.9905682003722,0.30925718259543494,0.5693231885216378,0.5804752844304737,ARKB
13,0.011964748264958747,-103.68025250474548,0.7606897742792151,0.06660300362938906,0.9359408856333837,ARKB
1,0.03654301222732004,223.6201952685325,0.21772697280969439,1.5550912187411765,0.21733294671648135,ARKF
2,0.037408886601440816,229.32167308721097,0.21208518687335798,1.5739392212018513,0.2134985072407058,ARKF
3,0.04272180023764116,259.59026409992504,0.16177994216493455,1.7851362434973126,0.1743920773250869,ARKF
4,0.019970315876550515,54.65776432116681,0.7704349744485508,0.8049016166579525,0.45076438440637623,ARKF
5,0.01922669979918712,33.0355732308007,0.8631940720392605,0.7645408903512845,0.4690042123532763,ARKF
6,0.04671878409039054,287.28440285860194,0.13824983489090248,1.88682327676389,0.15849291969681553,ARKF
7,0.042970522522453924,267.69949579607317,0.17201719128412013,1.7061959890274747,0.18843516762515242,ARKF
8,0.03883659294462816,241.1561519430471,0.2189457468970216,1.515218145773266,0.22641023602868202,ARKF
9,0.02847028980443811,161.86351319992306,0.40786489518886504,1.0842702098653985,0.34345922884789953,ARKF
10,0.02395081259687315,115.8704755049946,0.5694932445528773,0.8956563573520052,0.4127786289140387,ARKF
11,0.07895108981528165,-423.8032267589215,0.03518072923799988,3.085872207134061,0.05178177683438049,ARKF
12,0.027517475960996074,-151.4338390131718,0.4620414503996789,1.004512032317179,0.3713676749322764,ARKF
13,0.02201495543591736,-78.55519414696592,0.7086832750378549,0.7878683263510995,0.45880429507247433,ARKF
14,0.02811737202971465,-69.59241491019827,0.7426467166270729,0.9981136683665598,0.3738322524359251,ARKF
15,0.03150995542145629,-62.529357265871425,0.7744075326540321,1.1061946277369608,0.33669407044709937,ARKF
16,0.0436117057865002,-185.0768566780822,0.3965862290499097,1.5276139959964965,0.22451607358690998,ARKF
17,0.0583498714248607,-293.06548740306204,0.2097155237462316,2.044863265652656,0.13751681693572235,ARKF
18,0.058253464237719266,-298.36231349590764,0.2053213726750102,2.0103472811752123,0.14218573186470376,ARKF
