Month,Month_Name,Mean,Median,Std,Count
1,Jan,38.08867015706806,1.34175,265.2028649996001,382
2,Feb,30.013523636363637,1.1034,205.72466488594313,385
3,Mar,14.17038,0.0,128.86120466117765,405
4,Apr,7.702614364640883,0.0,84.35720950140738,362
5,May,10.26574876033058,0.0,101.72111304236029,363
6,Jun,14.016611232876713,1.0314,88.39323943856807,365
7,Jul,17.09131397260274,0.2536000000000005,109.38493872022488,365
8,Aug,0.7221728767123261,0.0,118.53906510126956,365
9,Sep,9.153627792915533,0.0,105.47997383001113,367
10,Oct,19.476992021276597,0.6839,112.16969872958265,376
11,Nov,25.904510846560846,2.3586000000000005,114.03334057519413,378
12,Dec,26.384448548812664,1.48,247.2797470666008,379
