Date,Benchmark_Return
2020-01-03,-0.009159932239005575
2020-01-06,0.006443201652833741
2020-01-07,-0.00013916672683544906
2020-01-08,0.0075163324194438275
2020-01-09,0.008473459122254612
2020-01-10,-0.0025572528578263753
2020-01-13,0.011536896749346104
2020-01-14,-0.003937520385625115
2020-01-15,0.0004089255595323138
2020-01-16,0.00958350650815043
2020-01-17,0.0049487408203912064
2020-01-21,-0.0004476949652144624
2020-01-22,0.0026424056839673415
2020-01-23,0.003216157754085014
2020-01-24,-0.008415332029325873
2020-01-27,-0.020655549653176064
2020-01-28,0.015359884231899379
2020-01-29,0.0016256519092916477
2020-01-30,0.0035616453433897632
2020-01-31,-0.015858035411083105
2020-02-03,0.01510931413671357
2020-02-04,0.0228887320178488
2020-02-05,0.0032971380664490457
2020-02-06,0.008632027036044043
2020-02-07,-0.004300818813432472
2020-02-10,0.012085533635877166
2020-02-11,0.00017240714714117367
2020-02-12,0.009741001763432289
2020-02-13,-0.0012805867003310434
2020-02-14,0.002863607152411518
2020-02-18,0.0003835507079983369
2020-02-19,0.009585481365626869
2020-02-20,-0.009283471127966347
2020-02-21,-0.0192094494006515
2020-02-24,-0.03856344603314232
2020-02-25,-0.02719185278945535
2020-02-26,0.005153924109751573
2020-02-27,-0.050073893901650846
2020-02-28,0.0007780765540958967
2020-03-02,0.05160347405105048
2020-03-03,-0.03206728814399418
2020-03-04,0.0417223872036534
2020-03-05,-0.030382205323640554
2020-03-06,-0.0168722157342861
2020-03-09,-0.06946445847254112
2020-03-10,0.05445054960647355
2020-03-11,-0.043554942741975466
2020-03-12,-0.09169139322075814
2020-03-13,0.08470555150727432
2020-03-16,-0.1197878430113809
2020-03-17,0.07584167812427767
2020-03-18,-0.030416126631697238
2020-03-19,0.006002250973719869
2020-03-20,-0.03917599105257474
2020-03-23,-0.0014059182112801105
2020-03-24,0.07743750104621072
2020-03-25,-0.007404990652475685
2020-03-26,0.05266039870553918
2020-03-27,-0.03439286636083361
2020-03-30,0.036373395161209965
2020-03-31,-0.008539884643741336
2020-04-01,-0.04248947792660618
2020-04-02,0.02029508528216084
2020-04-03,-0.014192782471973087
2020-04-06,0.07149479718300289
2020-04-07,-0.0004071754519254789
2020-04-08,0.02123224825522274
2020-04-09,0.0014458457174209016
2020-04-13,0.010803535608639558
2020-04-14,0.04349111896835156
2020-04-15,-0.011469875991549361
2020-04-16,0.01824002033048111
2020-04-17,0.009566205327703692
2020-04-20,-0.011844432497982726
2020-04-21,-0.03689952947645225
2020-04-22,0.02967446849122224
2020-04-23,-0.002132990214904651
2020-04-24,0.015770435103795943
2020-04-27,0.008043402778521003
2020-04-28,-0.018834652090261583
2020-04-29,0.03546099290780136
2020-04-30,-0.0004109421821489878
2020-05-01,-0.028185090063169493
2020-05-04,0.011657401821486557
2020-05-05,0.011337247595794242
2020-05-06,0.006156373772605583
2020-05-07,0.01287674577268838
2020-05-08,0.013704774978613443
2020-05-11,0.008938870859112713
2020-05-12,-0.02093710099277979
2020-05-13,-0.012515752027772997
2020-05-14,0.011352263767380855
2020-05-15,0.006491468374521192
2020-05-18,0.018632097118804092
2020-05-19,-0.002506230856904823
2020-05-20,0.019968256929865147
2020-05-21,-0.010890722499278693
2020-05-22,0.003451778572011399
2020-05-26,-0.0026996880871288376
2020-05-27,0.00545756215788229
2020-05-28,-0.0013026523154048286
2020-05-29,0.01465278941126713
2020-06-01,0.002999644096723264
2020-06-02,0.006707713153016437
2020-06-03,0.0044985678250990535
2020-06-04,-0.007013408445590397
2020-06-05,0.0198272717794008
2020-06-08,0.007760025830890749
2020-06-09,0.007244876745561513
2020-06-10,0.012001636384378234
2020-06-11,-0.04954917101680356
2020-06-12,0.007948041092188163
2020-06-15,0.012167182710604685
2020-06-16,0.017172800433573387
2020-06-17,0.0031706361717926956
2020-06-18,0.0027091522672098023
2020-06-19,-0.00016371903689482714
2020-06-22,0.010235833376076364
2020-06-23,0.008510945926783364
2020-06-24,-0.020615615252853492
2020-06-25,0.009519478074421217
2020-06-26,-0.023614996494007445
2020-06-29,0.010906648505010885
2020-06-30,0.01960142413691135
2020-07-01,0.011672048943489166
2020-07-02,0.006786685739797127
2020-07-06,0.024584686732265437
2020-07-07,-0.006888924478358427
2020-07-08,0.013171758995199623
2020-07-09,0.008423410606816173
2020-07-10,0.006827403291354228
2020-07-13,-0.02057049153566992
2020-07-14,0.007078156230306165
2020-07-15,0.002035560123040847
2020-07-16,-0.0068225328514308625
2020-07-17,0.001157835428374332
2020-07-20,0.028370923485487864
2020-07-21,-0.010420566729204883
2020-07-22,0.0035226995294743713
2020-07-23,-0.026120043413222938
2020-07-24,-0.009495802931277053
