Month,Month_Name,Mean,Median,Std,Count
1,Jan,4.51515450817455e-15,-8.624434375,252.70604691585035,299
2,Feb,-3.3072534609924663e-15,-5.746783333333333,223.03246559446183,275
3,Mar,8.369952565309655e-16,-7.9465375,131.1257690788846,295
4,Apr,-5.639228061588096e-16,-1.7275418947368424,79.17053081362056,252
5,May,-4.914821294783302e-16,-5.559938095238097,89.29719712587958,253
6,Jun,7.244749462652002e-16,-5.821647368421052,76.73760144784166,255
7,Jul,-1.169795967409921e-15,-5.870560061443934,103.58837439265784,328
8,Aug,6.498866485610672e-17,-1.8655421052631578,113.44948049810198,328
9,Sep,6.028847454934184e-16,-2.416328520849725,103.5923122025357,330
10,Oct,5.921189464667501e-16,-13.541756976744185,115.11264970082979,336
11,Nov,5.271088544214393e-16,-10.925827777777778,116.13206537570308,337
12,Dec,-2.060153494215675e-15,-1.0161860714285715,247.95405823712787,338
