Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
const,-5.36357510790304,2.4908493996550956,-2.1533116810055746,0.03136334750870562,,,,,,,
Return_lag1,148.0081875904583,101.45608364973286,1.4588399459754626,0.14470027804774,,,,,,,
Return_lag2,154.2227965018604,80.06547247516869,1.9262085357666585,0.05416047977059346,,,,,,,
Return_lag3,90.89580061687678,37.881480885172536,2.399478544474088,0.016471208254797975,,,,,,,
_SUMMARY_,,,,,0.010907289681034271,0.009842929418396706,0.01131842506515146,12.670678605514043,3.101587497944536e-08,3494.0,44.0
