Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
const,-10.220661252718926,3.2111825903449596,-3.182834038602887,0.0014718469412822177,,,,,,,
Return_lag1,298.30502540847226,124.00396015399744,2.405608861507444,0.01619975301124099,,,,,,,
Return_lag2,308.62415363713865,98.08085086471982,3.1466300599575274,0.0016662238676785623,,,,,,,
Return_lag3,185.2481268875656,67.76188789815733,2.7338100019583886,0.006293731853590501,,,,,,,
_SUMMARY_,,,,,-0.0002839589665963871,0.00743470056817086,0.000798985424997456,26.237011458673287,1.1102230246251565e-16,3494.0,44.0
